SSC_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
SSC50001,36,28,68,0,3,3,3,7,11,6,4,9,0,3,4,4,3,5,8,5,18,3,0,7,7,3,3,3,0,3,0,0,0,0,0,0,34,30,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,58,4,0,3,33,29,58,0,0,0,28,26,59,0,0,0,4,7,7,6,3,7,0,0,0,0,0,0,12,14,20,4,0,5,5,3,13,0,0,4,0,0,0,0,0,0,32,32,67,3,0,3
SSC50002,644,630,1275,47,45,98,127,85,216,39,48,80,17,22,38,65,66,128,76,95,176,90,85,178,75,75,148,66,67,129,30,34,67,6,11,20,576,581,1155,70,55,120,8,7,15,0,0,0,0,0,0,8,7,15,488,487,978,115,116,233,597,576,1175,15,38,53,562,574,1136,13,15,23,121,81,197,28,33,60,0,8,9,12,28,37,220,260,482,62,60,124,121,120,247,15,24,41,12,5,20,0,0,0,573,579,1154,39,34,75
SSC50003,49,49,102,0,6,9,5,11,16,0,0,0,3,4,4,4,9,11,10,5,12,4,12,12,8,3,17,4,0,7,0,3,4,0,0,0,49,49,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,32,76,8,6,16,46,47,86,3,0,3,46,36,81,0,0,0,5,6,13,0,0,0,0,0,0,0,0,0,11,21,32,5,0,7,14,5,18,0,4,3,5,0,5,0,0,0,45,47,89,9,4,14
SSC50004,21,15,31,0,0,0,0,3,0,0,0,0,0,0,0,4,0,3,4,0,7,3,3,4,4,5,5,3,0,3,0,0,0,0,0,0,14,15,29,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,9,21,3,3,6,21,15,33,0,0,0,14,9,30,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,3,12,6,0,6,4,3,10,0,0,0,0,0,0,0,0,0,14,15,29,0,0,0
SSC50005,35,22,58,4,3,5,4,3,7,3,0,6,0,0,0,6,4,9,3,0,6,3,3,5,0,3,5,3,0,8,3,0,3,0,0,0,35,26,60,0,0,0,7,7,15,0,0,0,0,0,0,7,7,15,28,19,49,0,3,7,33,26,57,0,0,3,31,20,51,0,0,0,4,3,7,3,0,3,0,0,0,0,0,0,9,10,18,0,5,4,8,3,13,5,0,5,0,0,0,0,0,0,33,24,60,53,49,98
SSC50006,640,676,1313,23,22,38,57,44,105,25,41,72,24,23,51,77,56,138,40,54,92,95,105,201,130,146,276,116,107,225,46,47,94,16,28,40,594,627,1217,41,55,99,3,0,0,0,0,0,0,0,0,3,0,0,405,435,840,185,190,377,539,566,1108,56,68,121,521,557,1078,3,0,8,57,39,98,19,29,44,5,4,5,16,34,56,303,358,658,50,56,103,124,113,230,22,19,47,14,13,32,0,0,0,565,598,1161,145,109,247
SSC50007,27,18,42,3,0,3,0,0,3,0,0,0,3,0,3,3,3,6,6,5,7,4,4,9,4,0,4,4,5,5,0,0,0,0,0,0,27,18,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,32,3,3,10,24,22,42,3,0,3,24,21,36,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,14,10,21,0,0,4,7,4,14,0,0,0,0,0,0,0,0,0,21,23,49,3,3,3
SSC50008,3985,3935,7924,240,236,479,564,512,1074,310,279,591,326,267,593,508,507,1009,506,535,1037,612,584,1191,522,555,1082,251,265,512,122,159,282,26,38,58,3846,3839,7676,147,98,246,56,71,130,0,0,0,3,0,4,62,70,133,2286,2215,4505,1528,1564,3092,2468,2387,4860,1357,1396,2753,3374,3352,6726,53,47,100,522,477,999,244,222,463,104,116,219,114,146,263,1528,1635,3168,358,334,685,737,675,1413,156,158,314,141,148,285,85,76,163,3805,3796,7604,118,115,233
SSC50009,4,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,6,0,0,0,0,0,0,0,0,3,4,5,4,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,4,5,12,0,0,0,4,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,0,0,0
SSC50010,1267,1287,2550,96,70,163,187,182,363,86,66,151,71,65,130,141,151,298,185,196,377,160,195,356,143,157,302,115,108,223,54,66,122,32,32,62,1200,1231,2436,63,51,115,12,12,23,0,0,0,0,0,0,17,12,23,861,864,1724,340,366,709,1055,1080,2132,150,158,310,1098,1123,2220,23,15,36,179,174,350,72,61,129,31,35,65,40,64,102,644,672,1317,79,75,158,145,160,300,37,37,72,26,20,49,3,7,8,1186,1217,2399,42,41,81
