SSC_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SSC50001,35,2167,675,220,1583,0.6,1593,3.2
SSC50002,39,1950,665,400,1730,0.7,1483,2.7
SSC50003,40,1617,756,185,1843,0.8,1542,2.7
SSC50004,43,0,1625,0,3499,0.4,2499,1.7
SSC50005,37,0,478,40,1312,0.7,1312,2.8
SSC50006,53,1730,663,300,1678,0.7,1243,2
SSC50007,43,0,1093,0,1874,0.7,1624,2.4
SSC50008,37,1800,625,390,1704,0.8,1590,3
SSC50009,61,0,725,0,0,0,0,2
SSC50010,39,2420,852,443,2542,0.8,2088,2.6
SSC50011,28,2249,930,360,2094,0.7,1942,2.8
SSC50012,50,0,680,0,1437,0,1375,2
SSC50013,40,1733,624,250,2017,0.7,1718,2.6
SSC50014,47,1928,640,90,1312,0.7,982,2.6
SSC50015,36,0,500,0,0,0,0,0
SSC50016,39,2104,683,225,2095,0.8,2026,3
SSC50017,49,0,1531,0,2750,0.7,2749,2.5
SSC50018,45,0,630,0,0,0,0,0
SSC50019,45,1733,641,420,1958,0.8,1721,2.8
SSC50020,50,2137,518,162,1624,0.7,1625,2.8
SSC50021,0,0,0,0,0,0,0,0
SSC50022,43,2916,954,460,2764,0.7,2186,2.5
SSC50023,45,0,612,109,1125,0.7,966,2.2
SSC50024,41,2500,804,470,2390,0.7,1992,2.6
SSC50025,45,1950,673,325,1906,0.8,1731,2.8
SSC50026,37,1400,507,300,1154,0.8,958,2.3
SSC50027,46,0,425,0,899,0.8,725,2.2
SSC50028,34,0,724,0,2124,1,1499,1.5
SSC50029,35,0,1156,0,2749,0.8,2250,2.7
SSC50030,47,434,556,0,1406,0.7,1350,2.5
SSC50031,42,2167,888,400,2221,0.7,1851,2.4
SSC50032,36,2167,691,405,1888,0.7,1417,2.5
SSC50033,14,0,949,0,0,0,0,0
SSC50034,38,1842,613,300,1649,0.7,1288,2.4
SSC50035,41,2500,920,420,2741,0.8,2181,2.7
SSC50036,33,2100,829,430,2304,0.8,2201,3.2
SSC50037,31,2232,937,440,2281,0.8,2213,3.2
