SSC_CODE_2016,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
SSC50001,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,3,4,7,0,0,0,3,8,6,0,0,0,0,3,5,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,12,27,0,0,0,0,4,4,0,0,0,0,3,3,3,0,0,0,0,3,9,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,7,20,0,0,0,0,9,9,0,0,0,0,4,4,3,0,0,0,3,5,11,0,0,0,5,18,3,0,0,0,0,7,7,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,31,4,0,0,19,53
SSC50002,0,0,0,0,39,39,0,0,0,0,17,17,27,0,0,0,42,65,60,0,4,0,15,76,66,3,8,3,12,90,55,0,11,3,3,75,45,3,11,0,0,66,28,0,3,3,0,30,6,0,0,0,0,6,294,11,34,10,122,469,0,0,0,0,48,48,0,3,0,0,22,22,37,0,0,0,25,66,61,3,8,0,13,95,64,0,11,0,10,85,50,7,11,3,0,75,41,0,14,8,4,67,23,0,3,6,0,34,3,0,0,10,0,11,290,12,53,25,117,501,0,0,0,0,80,80,0,3,0,0,38,38,68,0,0,0,64,128,126,11,11,0,32,176,131,3,18,3,22,178,106,8,27,5,3,148,87,3,25,10,5,129,47,0,3,12,4,67,12,0,0,10,0,20,579,21,87,37,240,968
SSC50003,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,4,8,0,0,0,0,10,3,0,0,0,0,4,8,0,4,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,22,0,6,0,11,39,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,3,9,3,0,0,0,0,5,7,0,0,0,0,12,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,18,0,0,4,5,33,0,0,0,0,0,0,0,0,0,0,8,4,3,0,0,0,4,11,13,0,0,0,3,12,14,0,0,0,3,12,8,0,4,0,0,17,6,0,0,0,0,7,0,0,0,5,0,4,0,0,0,0,0,0,47,0,8,5,20,75
SSC50004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,3,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,7,5,0,0,0,0,4,5,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,5,28
SSC50005,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,4,6,3,0,0,0,4,3,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,13,3,0,0,11,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,8,14,0,0,0,0,6,6,0,0,0,0,0,0,3,0,0,0,8,9,5,0,0,0,4,6,7,0,0,0,0,5,3,0,0,0,4,5,0,0,0,0,0,8,3,0,0,0,0,3,0,0,0,0,0,0,22,3,0,0,22,46
SSC50006,0,0,0,0,25,25,0,0,0,0,24,24,14,0,0,0,60,77,23,4,0,0,13,40,37,13,19,0,24,95,72,8,25,3,21,130,77,9,19,3,10,116,35,0,4,3,0,46,6,0,0,7,0,16,265,32,69,18,178,562,0,0,0,0,41,41,0,0,0,0,26,23,14,0,3,0,41,56,29,4,10,0,12,54,58,6,11,0,25,105,82,3,33,6,23,146,64,3,21,8,4,107,19,0,13,20,0,47,9,0,0,18,0,28,274,17,90,57,168,611,0,0,0,0,72,72,0,0,0,0,48,51,29,0,4,0,98,138,52,11,7,0,21,92,102,16,36,4,44,201,157,12,59,12,39,276,135,12,42,12,20,225,49,0,13,27,3,94,11,0,0,24,0,40,539,47,160,76,352,1170
SSC50007,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,3,0,0,0,0,6,4,0,0,0,0,4,4,0,0,0,0,4,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,5,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,3,5,17,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,6,7,0,0,0,0,7,10,0,0,0,0,9,4,0,0,0,0,4,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,26,0,4,3,9,38
SSC50008,0,0,0,0,307,310,14,0,0,0,311,326,174,11,3,0,316,508,312,27,30,0,136,506,438,25,57,4,87,612,403,12,58,8,43,522,182,13,32,6,7,251,91,9,4,23,0,122,16,0,0,6,0,26,1635,99,189,47,1216,3179,0,0,0,0,276,279,24,0,0,0,239,267,222,15,23,0,240,507,354,19,45,0,112,535,408,32,71,14,58,584,362,25,108,35,28,555,145,16,46,46,14,265,71,4,19,61,0,159,3,0,0,27,0,38,1593,114,315,191,974,3190,3,0,0,0,588,591,44,0,0,0,552,593,397,29,29,0,556,1009,666,47,75,5,254,1037,851,55,127,20,142,1191,759,34,174,38,76,1082,331,33,81,57,24,512,160,8,25,86,3,282,19,0,0,38,0,58,3235,210,505,235,2188,6371
SSC50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,3,0,0,9
SSC50010,0,0,0,0,86,86,0,0,0,0,71,71,55,0,0,0,90,141,144,3,12,0,28,185,119,12,11,0,20,160,106,3,9,0,14,143,82,6,9,5,8,115,39,0,4,3,3,54,18,0,0,11,0,32,567,22,52,24,320,987,0,0,0,0,66,66,0,0,0,0,65,65,73,0,4,0,73,151,147,9,11,0,24,196,136,10,23,3,16,195,106,9,28,0,16,157,74,4,17,12,3,108,32,3,11,19,0,66,4,0,3,22,0,32,574,35,95,63,262,1039,0,0,0,0,151,151,0,0,0,0,130,130,124,3,4,0,164,298,295,13,24,0,47,377,256,21,39,3,37,356,214,13,39,0,31,302,153,11,30,22,12,223,79,4,10,26,4,122,26,0,3,33,0,62,1146,58,150,87,578,2019
