SSC_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SSC50001,0,0,0,10,9,16,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5,0,0,0,0,0,0,0,0,0,19,12,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,30,0,0,0,0,0,0,11,17,26,4,0,7,36,28,68
SSC50002,3,3,6,98,105,206,0,0,0,4,18,20,0,0,0,95,91,184,10,4,12,4,0,4,3,4,5,0,0,0,0,3,4,0,0,0,3,4,6,13,10,21,17,10,24,0,0,0,0,4,6,20,33,45,16,32,47,0,4,7,277,321,595,0,3,4,3,3,4,0,0,3,0,0,0,0,0,0,0,3,3,0,3,3,301,253,554,0,0,0,0,0,0,299,254,554,54,46,104,644,630,1275
SSC50003,0,0,0,11,9,14,0,0,0,0,0,0,3,3,8,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,21,14,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,23,43,0,0,3,0,0,0,20,25,43,11,11,25,49,49,102
SSC50004,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,3,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,11,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,14,0,0,0,0,0,0,7,3,14,0,0,0,21,15,31
SSC50005,0,0,0,4,3,11,0,0,0,0,0,0,0,0,0,6,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,11,0,0,0,14,14,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,19,0,0,0,0,0,0,15,8,19,4,3,3,35,22,58
SSC50006,5,7,16,112,108,220,0,0,0,11,10,19,0,0,0,93,94,189,4,6,15,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,3,8,16,18,26,3,3,3,0,0,0,21,31,57,10,20,32,0,0,0,281,308,586,4,4,10,3,5,5,0,0,0,0,0,0,3,3,6,3,12,16,10,10,20,268,276,543,5,3,4,0,3,3,268,279,555,71,59,131,640,676,1313
SSC50007,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,8,3,3,9,0,0,0,17,13,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,15,0,0,0,0,0,0,12,4,15,0,0,0,27,18,42
SSC50008,254,292,548,398,456,855,0,0,0,96,84,184,0,0,0,976,1056,2030,14,15,30,149,171,318,20,14,43,4,9,14,13,15,25,0,4,5,27,34,54,66,74,134,41,46,89,8,7,18,6,12,18,58,68,131,140,166,308,3,0,4,2030,2233,4262,35,34,68,304,246,547,3,3,3,0,0,0,23,20,40,5,13,17,28,30,61,1032,827,1858,11,6,16,4,0,10,1045,832,1880,283,262,551,3985,3935,7924
SSC50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,4,8,9
SSC50010,17,28,40,159,205,362,0,0,0,32,30,62,0,0,0,364,397,762,3,0,3,3,5,7,3,3,4,0,0,0,10,12,16,0,0,0,4,5,9,12,10,23,24,27,48,0,3,3,0,3,3,36,54,88,18,25,42,0,0,0,665,772,1444,6,5,11,12,14,19,6,3,4,0,0,0,0,0,3,3,3,13,9,7,16,440,351,786,5,4,12,3,3,3,446,360,802,114,103,212,1267,1287,2550
