SSC_CODE_2016,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
SSC50001,0,0,0,3,4,3,0,0,0,12,0,0,0,3,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,8,3,7,3,0,0,21,0,0,0,8,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,0,0,17,0,0,3,7,3,0,0,0,0,20,0,0,0,3,0,0,0,0,0,4,0,0,0,3,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4
SSC50002,11,9,40,40,40,40,23,7,3,220,6,0,7,13,14,10,8,3,0,64,5,3,7,17,29,18,19,13,0,114,0,0,0,4,3,0,3,0,0,12,0,0,0,0,0,0,8,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,6,7,7,4,3,3,3,34,19,17,65,76,90,75,66,30,6,447,8,17,39,69,58,34,17,14,4,258,3,7,10,9,6,6,4,7,0,56,3,0,12,12,20,24,30,5,4,111,0,0,0,0,0,8,11,5,0,18,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,5,3,5,7,21,15,22,66,95,85,75,67,34,11,472,24,26,80,113,95,80,39,24,7,474,7,9,18,26,24,20,15,10,0,115,5,7,24,34,46,43,46,17,3,223,0,0,0,4,3,8,14,3,0,31
SSC50003,0,0,3,0,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,6,0,0,0,3,0,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,4,10,4,8,4,0,0,40,0,0,3,4,4,3,0,0,0,21,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,5,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,9,5,12,3,0,3,0,33,0,3,11,4,3,4,3,0,0,32,0,3,0,0,4,3,0,0,0,12,0,0,0,5,0,6,0,3,0,18,0,0,0,0,0,0,0,0,0,3
SSC50004,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,4,3,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,12,0,0,3,3,5,0,0,0,0,14,0,0,0,0,0,0,3,0,0,6,0,0,0,3,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0
SSC50005,0,0,3,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,8,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,3,0,3,3,0,28,0,0,3,0,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,3,3,0,0,0,14,0,0,3,5,3,3,0,0,0,18,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,3,0,13,0,0,0,0,0,0,3,0,0,7
SSC50006,3,14,50,24,49,72,57,23,8,303,0,4,10,3,10,4,10,0,0,45,3,4,14,5,27,35,27,10,3,117,0,0,0,0,0,3,7,3,0,17,0,0,0,0,0,0,4,4,0,14,0,0,0,0,0,0,0,0,0,0,0,4,7,6,8,7,7,0,0,39,13,24,77,40,95,130,116,46,16,544,8,12,41,42,71,90,48,23,12,351,0,3,0,3,8,22,10,3,0,44,3,3,7,3,17,26,28,12,3,106,0,0,0,0,0,0,7,0,0,17,0,0,0,0,0,0,0,6,4,15,0,0,0,0,0,0,0,0,5,0,5,0,0,0,11,4,12,11,5,51,19,23,55,54,105,146,107,47,28,585,11,28,92,67,122,168,113,41,18,659,0,6,13,3,18,26,15,5,0,86,5,6,21,8,40,63,53,20,8,224,3,3,0,3,3,7,8,5,0,33
SSC50007,0,0,3,4,4,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,4,4,4,0,0,19,0,0,3,5,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,5,0,0,17,0,0,5,6,8,3,0,0,0,21,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,14,0,0,0,0,0,0,0,0,0,0
SSC50008,88,223,315,280,232,217,114,33,6,1505,16,35,56,52,77,43,14,3,0,295,16,39,65,102,195,165,67,27,3,687,3,0,9,16,29,32,7,19,7,126,0,3,5,12,26,23,30,26,5,130,0,0,26,24,17,12,11,0,0,85,9,18,32,20,32,32,8,12,0,174,130,328,506,508,611,522,251,123,26,2997,84,222,377,321,269,193,96,39,3,1615,15,18,29,61,81,68,23,8,0,298,13,17,51,86,140,189,84,33,11,618,3,0,9,8,22,28,21,14,7,122,0,0,9,15,18,35,28,30,6,150,0,3,13,10,19,16,4,8,3,76,12,8,14,26,26,29,6,31,3,157,124,266,507,527,577,556,265,159,38,3030,174,446,688,596,505,412,208,75,13,3114,28,49,84,107,163,113,33,14,0,584,26,54,124,189,330,351,153,61,9,1303,10,0,18,24,54,61,31,32,14,243
SSC50009,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50010,24,60,115,148,115,91,56,23,6,639,0,0,12,10,12,4,14,3,0,58,0,4,0,14,27,40,29,16,5,125,0,0,0,0,3,0,10,4,6,23,0,0,0,0,0,0,3,10,9,22,0,0,0,0,0,0,0,0,0,3,8,3,11,14,3,9,4,4,3,59,31,71,141,185,160,143,115,54,32,928,13,57,122,169,143,88,55,23,6,670,0,3,7,9,16,13,7,4,3,67,3,0,11,10,21,38,31,19,5,140,0,0,0,0,0,3,3,10,4,24,0,0,0,0,0,0,6,10,9,20,0,0,0,0,0,0,0,0,0,7,0,3,3,5,11,9,7,11,4,60,22,59,151,196,195,157,108,66,32,991,41,113,246,315,254,180,112,44,15,1310,0,3,16,22,29,23,25,9,5,128,5,3,9,24,52,73,62,28,11,264,0,0,0,0,3,9,11,12,14,51
