SSC_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SSC50001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,18,7,3,3,0,0,40
SSC50002,0,0,0,0,0,0,6,6,0,16,0,0,0,0,0,0,0,0,0,0,0,4,6,8,8,6,7,6,4,55,35,38,128,176,178,148,129,67,20,916
SSC50003,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,4,11,12,12,17,7,4,0,77
SSC50004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,5,3,0,0,25
SSC50005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,9,6,5,5,8,3,0,45
SSC50006,0,0,0,0,0,3,4,9,3,31,0,0,0,0,0,0,0,0,5,0,6,4,6,8,17,12,18,12,9,95,26,51,132,92,201,276,225,94,40,1129
SSC50007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,9,4,5,0,0,38
SSC50008,0,3,17,23,52,60,54,52,13,282,0,7,37,36,41,26,14,5,3,163,17,32,50,49,53,63,15,42,9,331,258,596,1011,1037,1194,1079,512,282,58,6024
SSC50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,3,9
SSC50010,0,0,0,3,0,0,6,16,15,42,0,0,0,0,0,0,0,0,0,8,3,4,21,23,14,16,16,16,12,118,57,130,298,377,356,302,223,122,62,1920
SSC50011,0,0,3,3,3,3,11,6,0,28,0,0,0,3,3,0,0,0,0,6,27,35,148,105,62,34,20,8,0,439,164,552,1597,984,677,293,175,34,3,4468
SSC50012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,6,6,0,0,0,19
SSC50013,0,0,0,0,0,3,8,4,0,18,0,0,0,0,0,0,0,0,0,0,6,0,3,9,4,8,0,0,0,37,21,25,45,86,106,107,54,12,4,458
SSC50014,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,7,4,5,14,8,28,20,14,3,0,90
SSC50015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,11
SSC50016,0,0,0,0,0,4,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,3,3,0,0,25,15,16,31,77,82,58,45,7,3,330
SSC50017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,8,0,0,4,10,8,15,7,3,0,56
SSC50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,9
SSC50019,0,0,0,4,0,3,12,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,8,5,0,0,16,8,14,20,30,35,40,35,3,0,200
SSC50020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,12,7,11,3,0,43
SSC50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50022,3,0,3,0,0,16,15,22,14,68,0,0,3,0,0,3,7,3,0,11,17,24,66,48,49,55,62,67,67,455,188,453,800,824,926,955,779,427,218,5568
SSC50023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,15,10,3,4,0,44
SSC50024,0,0,0,3,0,6,12,20,15,61,0,0,0,0,0,0,0,0,0,3,10,14,24,16,16,27,14,20,7,136,130,293,442,535,573,606,385,223,118,3299
SSC50025,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,9,8,0,0,34,16,6,28,69,100,92,66,12,7,399
SSC50026,3,14,30,27,37,77,116,145,54,501,0,4,7,7,10,16,6,3,9,63,70,97,207,179,171,184,219,203,122,1449,452,998,1960,1613,1569,1558,1267,844,357,10610
SSC50027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,5,7,14,4,0,0,40
SSC50028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,9
SSC50029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,8,6,0,0,0,35
SSC50030,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,11,3,0,7,8,28,13,7,8,4,87
SSC50031,4,0,0,3,4,10,17,15,0,58,0,0,3,0,3,0,0,0,0,6,16,13,44,28,43,35,41,19,3,240,74,166,366,337,397,407,288,100,18,2158
SSC50032,0,0,3,4,0,3,6,21,10,47,0,0,0,0,3,0,0,0,0,8,3,12,24,26,8,14,13,32,4,135,66,146,412,396,292,214,235,222,47,2043
SSC50033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,4
SSC50034,0,0,0,0,8,7,8,16,7,41,0,0,3,4,7,0,0,0,0,12,0,4,11,15,16,14,12,10,3,90,35,62,224,214,174,139,108,79,19,1049
SSC50035,0,0,0,0,4,7,25,33,19,89,0,0,0,0,0,0,0,4,0,7,20,18,35,36,55,28,27,29,28,274,174,392,575,762,1029,724,558,384,165,4762
SSC50036,3,0,3,14,11,15,29,26,3,107,0,0,5,15,9,4,4,0,3,39,22,23,41,57,53,37,28,18,7,281,318,526,1136,1751,1363,642,365,141,28,6260
SSC50037,0,0,0,6,4,11,8,12,6,50,0,0,0,4,0,0,0,0,3,13,15,11,68,43,19,25,17,25,29,241,154,321,1226,1280,608,335,167,94,60,4254
SSC50038,0,0,0,0,0,4,14,27,12,57,0,0,0,0,0,0,0,0,0,3,3,6,8,7,12,21,22,20,18,115,25,38,89,98,189,256,276,182,74,1217
SSC50039,0,0,12,6,20,45,64,84,36,277,0,5,7,7,3,8,0,3,3,28,70,44,143,146,163,136,126,82,32,943,450,697,2015,2080,1834,1556,1128,514,148,10416
SSC50040,0,3,3,12,14,16,23,21,4,97,0,0,3,0,4,6,0,0,0,18,21,43,111,105,66,42,36,16,4,444,272,703,2087,1783,1146,573,349,144,17,7086
SSC50041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8
SSC50042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,9
SSC50043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,4,4,3,0,0,35
SSC50044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,3,0,0,23
SSC50045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,10,9,3,0,0,0,34
SSC50046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,3,4,0,3,16
SSC50047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,0,0,3,0,9
SSC50048,0,0,0,0,0,0,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,30,18,37,34,26,6,0,163
SSC50049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,8,0,0,0,11
SSC50050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,15,0,6,5,3,10,4,6,5,0,37
SSC50051,0,0,0,3,3,9,15,5,3,34,0,0,0,0,0,0,0,0,0,0,0,3,10,8,14,18,19,3,0,66,26,31,109,137,170,187,161,42,10,875
SSC50052,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,0,0,16,12,5,7,15,34,18,13,13,0,124
SSC50053,3,12,18,13,25,57,214,249,101,692,0,8,6,11,19,14,24,71,20,171,26,38,168,87,83,84,123,140,153,894,224,624,1964,1412,1209,981,964,817,360,8565
SSC50054,6,3,17,16,35,49,111,80,20,348,0,0,12,8,9,7,3,3,5,48,119,229,575,375,296,201,153,83,18,2049,926,2284,6256,4749,3580,2130,1490,567,100,22073
SSC50055,18,21,82,72,48,89,111,102,30,574,3,11,58,52,44,36,30,15,4,251,56,114,324,169,163,124,129,96,16,1188,355,1070,3033,1695,1294,1061,833,461,97,9896
SSC50056,0,0,0,0,0,3,4,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,12,9,3,0,35,7,14,47,46,58,136,122,35,8,465
SSC50057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,3,8,4,3,3,3,0,0,20
SSC50058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50059,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,4,0,3,7,12,18,7,3,0,61
