SSC_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SSC50001,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,9,4,5,18,7,3,3,0,0,53
SSC50002,0,0,3,20,32,14,8,0,3,82,0,0,10,21,11,6,6,0,0,59,0,0,13,15,22,9,4,4,0,60,0,0,7,7,14,3,3,0,0,30,0,0,12,15,9,10,0,0,0,49,0,0,3,10,13,0,0,0,0,26,0,0,6,8,9,9,11,0,3,53,80,38,128,176,178,148,129,67,20,968
SSC50003,0,0,3,0,3,0,0,0,0,11,0,4,0,4,3,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,3,0,0,0,12,0,4,11,12,12,17,7,4,0,75
SSC50004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,3,7,4,5,3,0,0,28
SSC50005,0,0,0,3,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,6,0,9,6,5,5,8,3,0,46
SSC50006,0,4,14,11,28,25,14,3,0,101,0,0,7,6,13,22,13,4,0,57,0,0,12,9,18,16,9,0,0,61,0,0,4,5,11,12,4,0,0,34,0,0,3,5,25,26,9,0,0,78,0,0,0,0,12,14,5,0,0,37,4,3,6,0,13,9,17,11,7,80,72,51,138,92,201,276,225,94,40,1170
SSC50007,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,6,7,9,4,5,0,0,38
SSC50008,3,49,139,126,134,151,30,3,3,638,0,22,94,106,118,69,12,0,0,420,0,3,56,71,91,61,7,0,0,296,0,3,38,51,63,40,6,0,0,200,0,5,46,77,87,44,8,0,0,269,0,0,15,10,22,17,3,0,0,69,39,36,59,61,58,68,22,28,6,380,591,593,1009,1037,1191,1082,512,282,58,6371
SSC50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,3,9
SSC50010,0,10,32,20,35,27,15,0,3,148,0,3,26,25,27,20,10,3,3,117,0,0,22,32,25,21,8,4,0,110,0,0,19,23,29,13,3,0,0,89,0,0,36,75,69,38,10,4,0,226,0,0,15,66,56,26,4,0,0,173,11,6,24,17,15,15,6,14,5,126,151,130,298,377,356,302,223,122,62,2019
