SSC_CODE_2016,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
SSC50001,0,0,0,0,0,3,0,3,0,6,0,6,0,0,0,0,0,4,0,4,0,8,0,8,0,3,0,3,0,5,0,7,0,3,0,3,0,0,0,0,0,0,0,0,0,35,3,36,0,3,0,3,0,7,0,7,0,4,0,4,0,3,0,3,0,0,0,3,0,5,0,5,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,28,0,3,0,3,0,11,0,11,0,9,0,9,0,4,0,4,0,3,0,5,0,18,0,18,0,7,0,7,0,4,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,62,3,68
SSC50002,0,49,0,47,3,116,8,127,0,38,0,39,0,17,0,17,0,56,7,65,0,74,7,76,0,84,7,90,0,71,3,75,7,58,5,66,6,28,3,30,0,3,0,6,20,585,35,644,0,45,0,45,3,79,3,85,0,47,0,48,0,20,0,22,3,61,0,66,0,86,11,95,3,83,0,85,0,66,6,75,3,53,7,67,4,26,0,34,0,7,0,11,19,579,35,630,0,96,0,98,12,190,10,216,0,79,3,80,0,35,0,38,4,122,11,128,0,161,10,176,4,164,10,178,0,138,7,148,8,109,12,129,10,53,7,67,5,15,3,20,42,1166,68,1275
SSC50003,0,0,0,0,0,9,0,5,0,0,0,0,0,3,0,3,0,3,3,4,0,5,4,10,0,3,0,4,0,6,3,8,0,5,0,4,0,0,0,0,0,0,0,0,4,41,12,49,0,6,0,6,0,6,0,11,0,0,0,0,0,4,0,4,0,3,0,9,0,6,0,5,0,12,0,12,0,3,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,45,3,49,0,9,0,9,0,14,0,16,0,0,0,0,0,4,0,4,0,10,4,11,0,10,5,12,0,16,0,12,0,11,3,17,0,10,0,7,0,3,0,4,0,0,0,0,4,83,11,102
SSC50004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,4,0,3,0,3,0,4,0,4,0,3,0,3,0,0,0,0,0,0,0,0,0,21,0,21,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,7,0,7,0,4,0,4,0,5,0,5,0,3,0,3,0,0,0,0,0,0,0,0,0,33,0,31
SSC50005,0,0,0,4,0,5,0,4,0,3,0,3,0,0,0,0,0,4,0,6,0,3,0,3,0,4,0,3,0,0,0,0,0,5,0,3,0,3,0,3,0,0,0,0,0,29,0,35,0,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,3,0,3,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,22,0,3,0,5,0,7,0,7,0,6,0,6,0,0,0,0,0,9,3,9,0,6,0,6,0,7,0,5,0,6,0,5,0,4,0,8,0,3,0,3,0,0,0,0,3,55,3,58
SSC50006,0,20,0,23,6,52,8,57,3,19,0,25,3,18,0,24,4,67,7,77,0,35,0,40,4,86,7,95,0,118,6,130,5,101,10,116,4,31,3,46,6,8,0,16,30,561,46,640,0,22,0,22,0,39,0,44,0,41,3,41,0,21,0,23,0,56,0,56,0,54,0,54,0,98,13,105,6,137,11,146,3,98,12,107,8,33,7,47,13,10,7,28,29,599,51,676,0,41,0,38,5,91,9,105,5,57,5,72,3,43,3,51,4,124,6,138,0,86,0,92,4,181,20,201,7,255,15,276,6,195,14,225,10,66,11,94,11,22,8,40,56,1160,97,1313
SSC50007,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,6,0,6,0,4,0,4,0,3,0,4,0,5,0,4,0,0,0,0,0,0,0,0,0,22,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,0,5,0,3,0,4,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,16,0,18,0,3,0,3,0,3,0,3,0,0,0,0,0,3,0,3,0,6,0,6,0,7,0,7,0,10,0,9,0,3,0,4,0,10,0,5,0,0,0,0,0,0,0,0,3,43,0,42
SSC50008,0,228,11,240,20,519,25,564,4,291,7,310,5,302,15,326,13,463,30,508,11,470,20,506,18,570,27,612,25,469,35,522,22,216,7,251,24,92,9,122,10,9,0,26,158,3632,197,3985,3,219,15,236,9,492,10,512,8,267,12,279,3,256,8,267,11,471,18,507,13,485,37,535,20,542,21,584,30,494,32,555,26,235,10,265,29,112,14,159,20,13,3,38,162,3592,182,3935,3,448,32,479,29,1007,36,1074,14,561,20,591,6,560,27,593,30,939,49,1009,22,956,57,1037,33,1109,47,1191,57,965,60,1082,43,453,21,512,50,205,27,282,34,28,3,58,317,7230,378,7924
SSC50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,9
SSC50010,0,89,8,96,6,176,9,187,0,82,8,86,0,67,3,71,0,129,15,141,3,173,13,185,3,154,3,160,4,127,8,143,7,103,6,115,8,42,7,54,7,18,3,32,39,1162,69,1267,0,63,8,70,0,170,9,182,0,63,5,66,0,59,3,65,0,144,6,151,0,182,11,196,0,182,5,195,0,152,12,157,3,100,7,108,6,53,4,66,17,11,4,32,43,1183,62,1287,0,152,7,163,4,345,13,363,0,148,5,151,0,124,4,130,3,277,21,298,4,357,16,377,3,335,16,356,4,272,17,302,9,210,9,223,15,97,7,122,30,27,4,62,80,2343,129,2550
