SSC_CODE_2016,M_15_19_yr_Volunteer,M_15_19_yr_N_a_volunteer,M_15_19_yr_Voluntary_work_ns,M_15_19_yr_Tot,M_20_24_yr_Volunteer,M_20_24_yr_N_a_volunteer,M_20_24_yr_Voluntary_work_ns,M_20_24_yr_Tot,M_25_34_yr_Volunteer,M_25_34_yr_N_a_volunteer,M_25_34_yr_Voluntary_work_ns,M_25_34_yr_Tot,M_35_44_yr_Volunteer,M_35_44_yr_N_a_volunteer,M_35_44_yr_Voluntary_work_ns,M_35_44_yr_Tot,M_45_54_yr_Volunteer,M_45_54_yr_N_a_volunteer,M_45_54_yr_Voluntary_work_ns,M_45_54_yr_Tot,M_55_64_yr_Volunteer,M_55_64_yr_N_a_volunteer,M_55_64_yr_Voluntary_work_ns,M_55_64_yr_Tot,M_65_74_yr_Volunteer,M_65_74_yr_N_a_volunteer,M_65_74_yr_Voluntary_work_ns,M_65_74_yr_Tot,M_75_84_yr_Volunteer,M_75_84_yr_N_a_volunteer,M_75_84_yr_Voluntary_work_ns,M_75_84_yr_Tot,M_85ov_Volunteer,M_85ov_N_a_volunteer,M_85_ov_Voluntary_work_ns,M_85ov_Tot,M_Tot_Volunteer,M_Tot_N_a_volunteer,M_Tot_Voluntary_work_ns,M_Tot_Tot,F_15_19_yr_Volunteer,F_15_19_yr_N_a_volunteer,F_15_19_yr_Voluntary_work_ns,F_15_19_yr_Tot,F_20_24_yr_Volunteer,F_20_24_yr_N_a_volunteer,F_20_24_yr_Voluntary_work_ns,F_20_24_yr_Tot,F_25_34_yr_Volunteer,F_25_34_yr_N_a_volunteer,F_25_34_yr_Voluntary_work_ns,F_25_34_yr_Tot,F_35_44_yr_Volunteer,F_35_44_yr_N_a_volunteer,F_35_44_yr_Voluntary_work_ns,F_35_44_yr_Tot,F_45_54_yr_Volunteer,F_45_54_yr_N_a_volunteer,F_45_54_yr_Voluntary_work_ns,F_45_54_yr_Tot,F_55_64_yr_Volunteer,F_55_64_yr_N_a_volunteer,F_55_64_yr_Voluntary_work_ns,F_55_64_yr_Tot,F_65_74_yr_Volunteer,F_65_74_yr_N_a_volunteer,F_65_74_yr_Voluntary_work_ns,F_65_74_yr_Tot,F_75_84_yr_Volunteer,F_75_84_yr_N_a_volunteer,F_75_84_yr_Voluntary_work_ns,F_75_84_yr_Tot,F_85ov_Volunteer,F_85ov_N_a_volunteer,F_85_ov_Voluntary_work_ns,F_85ov_Tot,F_Tot_Volunteer,F_Tot_N_a_volunteer,F_Tot_Voluntary_work_ns,F_Tot_Tot,P_15_19_yr_Volunteer,P_15_19_yr_N_a_volunteer,P_15_19_yr_Voluntary_work_ns,P_15_19_yr_Tot,P_20_24_yr_Volunteer,P_20_24_yr_N_a_volunteer,P_20_24_yr_Voluntary_work_ns,P_20_24_yr_Tot,P_25_34_yr_Volunteer,P_25_34_yr_N_a_volunteer,P_25_34_yr_Voluntary_work_ns,P_25_34_yr_Tot,P_35_44_yr_Volunteer,P_35_44_yr_N_a_volunteer,P_35_44_yr_Voluntary_work_ns,P_35_44_yr_Tot,P_45_54_yr_Volunteer,P_45_54_yr_N_a_volunteer,P_45_54_yr_Voluntary_work_ns,P_45_54_yr_Tot,P_55_64_yr_Volunteer,P_55_64_yr_N_a_volunteer,P_55_64_yr_Voluntary_work_ns,P_55_64_yr_Tot,P_65_74_yr_Volunteer,P_65_74_yr_N_a_volunteer,P_65_74_yr_Voluntary_work_ns,P_65_74_yr_Tot,P_75_84_yr_Volunteer,P_75_84_yr_N_a_volunteer,P_75_84_yr_Voluntary_work_ns,P_75_84_yr_Tot,P_85ov_Volunteer,P_85ov_N_a_volunteer,P_85_ov_Voluntary_work_ns,P_85ov_Tot,P_Tot_Volunteer,P_Tot_N_a_volunteer,P_Tot_Voluntary_work_ns,P_Tot_Tot
SSC50001,0,3,0,6,0,0,0,0,0,3,0,4,0,5,0,8,3,0,0,3,0,3,0,7,0,0,0,3,0,0,0,0,0,0,0,0,6,17,5,27,0,0,0,4,0,0,0,3,0,0,0,3,0,7,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,14,0,20,3,5,0,9,0,3,0,4,0,5,0,5,4,10,0,18,7,0,0,7,0,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0,20,30,6,53
SSC50002,10,29,0,39,0,14,0,17,6,53,9,65,22,53,3,76,35,54,3,90,12,63,6,75,20,38,5,66,12,25,0,30,0,0,4,6,111,328,29,469,18,26,0,48,4,17,3,22,19,47,0,66,32,60,4,95,36,53,0,85,19,46,5,75,22,34,6,67,12,21,3,34,0,7,4,11,170,310,19,501,29,57,0,80,3,30,3,38,21,96,10,128,53,115,5,176,67,108,7,178,32,113,9,148,42,73,9,129,18,40,0,67,0,14,5,20,276,637,51,968
SSC50003,0,0,0,0,0,3,0,3,0,3,0,4,3,0,3,10,3,5,0,4,0,6,3,8,0,5,3,4,0,0,0,0,0,0,0,0,11,27,10,39,0,0,0,0,0,0,0,4,0,7,0,9,3,0,0,5,7,6,0,12,0,3,0,3,3,0,0,0,0,3,0,3,0,0,0,0,16,18,4,33,0,0,0,0,0,8,0,4,3,5,0,11,6,0,3,12,6,8,0,12,0,11,3,17,3,5,3,7,0,4,0,4,0,0,0,0,23,39,13,75
SSC50004,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,0,3,0,4,0,4,3,0,0,3,0,0,0,0,0,0,0,0,11,9,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,3,0,0,3,6,0,0,7,0,0,0,4,0,7,0,5,3,0,0,3,0,0,0,0,0,0,0,0,12,11,3,28
SSC50005,0,3,0,3,0,0,0,0,3,0,0,6,4,0,0,3,4,0,0,3,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,13,16,0,26,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,4,3,14,0,6,0,6,0,0,0,0,6,3,3,9,3,0,0,6,7,0,0,5,3,5,0,5,0,4,0,8,0,3,0,3,0,0,0,0,19,21,7,46
SSC50006,7,20,0,25,4,21,4,24,11,59,7,77,11,26,0,40,33,50,11,95,29,92,7,130,36,68,6,116,12,28,0,46,3,14,3,16,146,373,41,562,8,31,3,41,10,14,0,23,13,38,0,56,17,35,0,54,38,61,12,105,47,98,4,146,42,53,13,107,10,29,5,47,3,17,4,28,184,382,48,611,14,47,4,72,11,34,4,51,23,100,6,138,24,65,3,92,72,104,18,201,73,186,15,276,73,124,25,225,26,59,9,94,3,28,9,40,326,752,95,1170
SSC50007,0,0,0,0,0,0,0,3,0,0,0,3,5,3,0,6,4,0,0,4,0,3,0,4,0,0,0,4,0,0,0,0,0,0,0,0,12,5,0,19,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,5,3,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,14,9,3,17,0,0,0,0,0,0,0,3,0,4,0,6,6,3,0,7,10,0,0,9,0,3,0,4,4,4,0,5,0,0,0,0,0,0,0,0,24,16,0,38
SSC50008,46,252,10,310,44,267,24,326,61,415,27,508,68,414,27,506,77,496,37,612,57,433,36,522,21,213,7,251,24,86,12,122,0,17,4,26,394,2608,188,3179,64,202,15,279,52,208,8,267,65,420,20,507,105,402,32,535,88,468,28,584,75,458,28,555,37,223,10,265,19,112,29,159,0,34,3,38,499,2520,169,3190,115,450,28,591,93,473,31,593,127,839,47,1009,166,815,58,1037,165,964,64,1191,133,889,62,1082,61,436,18,512,42,203,44,282,4,53,3,58,891,5125,349,6371
SSC50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,3,0,3,4,6,0,9
SSC50010,25,60,7,86,7,54,3,71,21,108,11,141,42,134,10,185,43,116,3,160,26,102,9,143,22,81,4,115,16,35,4,54,3,19,3,32,206,714,66,987,21,38,0,66,20,38,3,65,37,108,6,151,69,122,7,196,52,134,5,195,35,114,12,157,26,84,3,108,15,43,8,66,3,27,0,32,269,712,55,1039,47,97,6,151,30,100,4,130,55,221,17,298,107,251,18,377,96,246,14,356,60,223,19,302,54,166,7,223,29,85,16,122,8,50,7,62,477,1427,114,2019
