SSC_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SSC50001,0,0,0,10,14,0,4,7,7,53
SSC50002,4,9,20,224,296,154,124,111,59,968
SSC50003,0,0,0,18,16,17,8,6,13,75
SSC50004,0,0,0,10,3,5,9,3,0,28
SSC50005,0,0,0,11,6,6,6,3,7,46
SSC50006,9,6,40,256,389,149,92,197,100,1170
SSC50007,0,0,0,8,8,4,7,5,0,38
SSC50008,30,6,58,1456,1584,712,521,1728,367,6371
SSC50009,0,0,3,0,3,4,0,0,3,9
SSC50010,24,6,62,461,614,259,232,333,126,2019
SSC50011,0,0,3,1132,1387,468,433,801,422,4639
SSC50012,0,0,0,6,0,3,0,0,3,19
SSC50013,0,0,4,81,147,83,66,68,38,479
SSC50014,0,0,0,25,27,12,11,15,9,90
SSC50015,0,0,0,0,0,0,3,0,0,11
SSC50016,3,0,3,82,90,52,57,45,25,347
SSC50017,0,0,0,11,12,10,4,6,10,56
SSC50018,0,0,0,3,3,0,0,0,0,9
SSC50019,0,0,0,27,63,31,22,46,21,210
SSC50020,0,0,0,8,14,7,3,12,0,50
SSC50021,0,0,0,0,0,0,0,0,0,0
SSC50022,54,73,218,1412,1569,758,572,1036,469,5806
SSC50023,0,0,0,9,13,9,9,7,0,40
SSC50024,39,6,118,937,979,455,327,617,162,3476
SSC50025,3,0,7,88,120,68,62,49,33,425
SSC50026,158,89,357,1970,2437,1152,1111,2817,1442,10925
SSC50027,0,0,0,4,5,4,12,7,3,40
SSC50028,0,0,0,4,0,0,3,0,0,9
SSC50029,0,0,0,7,7,4,5,3,5,35
SSC50030,0,0,4,19,19,11,20,14,4,89
SSC50031,9,0,18,509,638,249,158,409,244,2219
SSC50032,19,5,47,443,574,240,211,487,146,2102
SSC50033,0,0,0,4,0,0,3,0,3,10
SSC50034,9,0,19,244,290,106,118,236,86,1082
SSC50035,44,19,170,1242,1426,702,527,851,349,5106
SSC50036,13,5,28,1744,1949,782,627,1323,290,6712
SSC50037,47,3,60,1097,1295,561,438,829,215,4433
SSC50038,22,19,74,184,305,223,187,227,129,1252
SSC50039,45,23,148,2207,3037,1445,1360,1886,975,10921
