SSC_CODE_2016,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
SSC50001,0,4,0,6,0,0,0,0,0,3,0,4,0,8,0,8,0,3,0,3,0,5,0,7,0,3,0,3,0,0,0,0,0,0,0,0,0,22,5,27,0,3,0,4,0,0,0,3,0,0,0,3,0,6,0,5,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,20,0,8,0,9,0,3,0,4,0,5,0,5,0,11,0,18,0,8,0,7,0,4,0,3,0,3,0,3,0,0,0,0,0,0,0,0,3,37,11,53
SSC50002,0,34,0,39,0,14,0,17,8,53,7,65,12,63,3,76,10,81,3,90,11,64,8,75,3,54,5,66,4,26,0,30,0,3,4,6,38,397,32,469,6,39,0,48,0,23,3,22,0,57,0,66,15,79,4,95,9,74,0,85,7,61,4,75,9,51,6,67,3,29,3,34,0,11,7,11,52,417,24,501,3,75,0,80,0,35,3,38,6,113,11,128,24,139,6,176,18,155,7,178,16,122,7,148,14,103,10,129,3,58,0,67,0,12,8,20,94,814,56,968
SSC50003,0,0,0,0,0,3,0,3,0,3,0,4,0,9,0,10,0,3,0,4,0,6,3,8,0,7,0,4,0,0,0,0,0,0,0,0,0,35,8,39,0,0,0,0,0,4,0,4,0,3,0,9,0,3,0,5,3,6,0,12,0,3,0,3,0,0,0,0,0,5,0,3,0,0,0,0,4,27,4,33,0,0,0,0,0,4,0,4,0,11,0,11,0,13,0,12,0,10,0,12,0,14,3,17,0,7,0,7,0,5,0,4,0,0,0,0,4,61,8,75
SSC50004,0,0,0,0,0,0,0,0,0,3,0,4,0,4,0,4,0,0,0,3,0,0,0,4,0,3,0,3,0,0,0,0,0,0,0,0,5,13,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,12,0,0,0,0,0,0,0,0,0,3,0,3,0,7,0,7,3,3,0,4,3,6,0,5,0,3,0,3,0,0,0,0,0,0,0,0,6,16,0,28
SSC50005,0,3,0,3,0,0,0,0,0,0,0,6,0,3,0,3,0,3,3,3,0,0,0,0,0,5,0,3,0,3,0,3,0,0,0,0,3,23,4,26,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,3,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,12,3,14,0,3,0,6,0,0,0,0,0,3,3,9,0,6,0,6,0,6,3,5,3,3,0,5,0,4,0,8,0,3,0,3,0,0,0,0,5,32,8,46
SSC50006,0,19,3,25,0,18,4,24,5,65,11,77,0,35,5,40,6,76,8,95,23,97,8,130,13,94,14,116,3,39,4,46,0,14,3,16,50,461,53,562,3,39,6,41,0,21,0,23,3,55,0,56,4,50,0,54,21,72,11,105,26,112,10,146,13,80,16,107,8,28,9,47,0,19,7,28,91,473,50,611,6,58,6,72,3,45,4,51,3,122,10,138,6,83,5,92,28,153,21,201,54,207,13,276,25,170,25,225,14,66,11,94,0,28,11,40,137,929,106,1170
SSC50007,0,0,0,0,0,0,0,3,0,3,0,3,3,4,0,6,0,0,0,4,0,3,0,4,0,3,0,4,0,0,0,0,0,0,0,0,9,11,3,19,0,0,0,0,0,0,0,0,0,3,0,3,3,3,0,5,0,4,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,9,12,0,17,0,0,0,0,0,0,0,3,0,5,0,6,5,7,0,7,3,3,3,9,0,3,0,4,5,0,0,5,0,0,0,0,0,0,0,0,17,20,0,38
SSC50008,17,282,11,310,19,289,24,326,24,456,29,508,48,433,26,506,62,516,39,612,59,430,32,522,29,209,14,251,8,101,23,122,0,21,3,26,258,2725,199,3179,18,247,13,279,19,241,12,267,51,432,23,507,74,418,36,535,101,456,31,584,105,428,26,555,27,222,11,265,15,112,28,159,3,31,3,38,415,2589,185,3190,31,534,23,591,37,533,32,593,71,886,52,1009,126,848,64,1037,157,965,68,1191,171,854,60,1082,58,437,26,512,21,212,49,282,3,48,6,58,673,5314,383,6371
SSC50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,3,0,0,3,5,5,0,9
SSC50010,3,75,7,86,3,63,3,71,8,119,14,141,11,158,11,185,12,145,3,160,22,108,9,143,9,101,5,115,9,44,4,54,0,28,3,32,85,839,60,987,0,60,0,66,0,58,4,65,10,137,5,151,29,156,12,196,29,160,8,195,34,116,11,157,20,88,3,108,4,50,13,66,0,29,5,32,118,856,62,1039,4,142,6,151,4,117,5,130,20,258,20,298,37,315,25,377,43,300,15,356,55,228,20,302,26,188,8,223,10,98,13,122,5,50,5,62,200,1699,126,2019
