SSC_CODE_2016,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
SSC50001,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,3,0,8,4,0,0,4,0,0,3,0,0,0,0,5,0,7,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,16,5,27,0,0,0,0,4,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,13,11,3,20,0,0,0,0,6,0,9,0,0,0,0,3,0,4,0,0,0,0,5,0,5,10,0,0,7,3,0,18,8,0,0,8,3,0,7,0,0,0,0,3,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0
SSC50002,0,5,0,6,29,0,39,0,0,0,0,17,0,17,27,3,0,30,25,9,65,59,0,0,58,14,3,76,36,0,0,35,52,3,90,3,5,0,10,63,4,75,0,3,0,3,55,4,66,0,0,0,0,31,0,30,0,0,0,0,3,4,6,126,19,3,147,285,32,469,0,5,0,5,39,0,48,0,0,0,4,15,3,22,46,0,3,48,17,0,66,69,3,6,77,16,4,95,30,3,3,36,52,0,85,3,12,0,14,55,5,75,0,11,0,11,51,6,67,0,0,0,0,28,0,34,0,0,0,0,7,4,11,148,33,7,193,287,23,501,0,8,0,11,71,0,80,0,0,0,4,35,3,38,71,3,5,77,41,7,128,126,3,3,133,31,10,176,66,5,3,71,102,4,178,10,18,0,24,114,6,148,0,11,0,11,103,13,129,0,3,0,3,61,0,67,0,0,0,0
SSC50003,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,0,0,4,6,0,0,6,0,3,10,3,0,0,3,5,0,4,0,0,0,0,8,3,8,0,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,16,24,10,39,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,0,3,3,0,9,3,0,0,3,0,0,5,3,3,0,5,7,0,12,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,12,3,0,17,18,4,33,0,0,0,0,0,0,0,0,0,0,0,5,0,4,4,0,0,4,3,0,11,9,0,0,9,0,3,12,8,3,0,8,5,0,12,0,0,0,0,13,3,17,0,3,0,3,3,3,7,0,0,0,0,4,0,4,0,0,0,0
SSC50004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,3,0,3,0,0,0,0,4,0,4,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,12,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,5,3,0,7,0,0,0,0,4,0,4,0,0,0,0,5,0,5,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0
SSC50005,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,6,4,0,0,4,3,0,3,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,6,0,0,6,19,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,5,3,14,0,0,0,0,6,0,6,0,0,0,0,0,0,0,3,0,0,5,0,3,9,7,0,0,7,3,0,6,0,0,0,0,7,0,5,0,3,0,3,3,0,5,0,0,0,0,4,0,8,0,0,0,0,3,0,3,0,0,0,0
SSC50006,0,0,0,0,24,0,25,0,0,0,3,22,4,24,8,7,0,13,60,7,77,19,6,0,19,17,0,40,29,3,0,36,48,6,95,7,5,0,14,110,5,130,0,10,0,15,95,6,116,0,0,0,0,39,3,46,0,0,0,0,12,3,16,69,30,0,101,416,39,562,0,5,0,5,32,3,41,0,3,0,4,16,0,23,16,3,0,21,38,0,56,38,3,0,41,11,0,54,31,11,0,42,53,9,105,10,19,0,28,119,4,146,0,13,0,17,78,18,107,0,3,0,3,35,11,47,0,0,0,0,22,4,28,99,58,0,153,409,55,611,0,5,0,5,58,4,72,3,4,0,5,37,4,51,29,8,0,33,91,6,138,50,5,0,58,27,0,92,63,11,0,74,107,16,201,16,22,0,37,225,9,276,7,28,0,34,171,24,225,0,3,0,3,79,15,94,0,0,0,0
SSC50007,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,3,0,0,3,3,0,6,0,0,0,0,4,0,4,0,0,0,0,4,0,4,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,16,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,4,3,0,5,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,11,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,6,5,0,0,5,5,0,7,0,0,0,0,4,0,9,0,0,0,0,4,0,4,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0
SSC50008,0,13,0,21,279,11,310,8,7,0,14,287,21,326,138,16,3,160,319,31,508,238,14,13,263,220,28,506,164,14,10,186,398,29,612,31,51,0,83,406,38,522,0,28,0,34,203,14,251,0,3,0,3,113,15,122,0,0,0,0,17,3,26,581,148,21,751,2246,180,3179,3,27,0,26,237,15,279,21,17,0,36,227,8,267,221,27,12,268,220,23,507,306,17,20,341,164,30,535,146,51,5,202,348,24,584,18,108,0,126,400,28,555,0,52,0,53,200,15,265,0,10,0,7,118,29,159,0,0,0,0,34,3,38,723,303,40,1065,1952,173,3190,3,40,3,45,517,24,591,28,22,0,48,512,34,593,361,45,19,421,536,52,1009,541,26,29,602,387,52,1037,309,62,10,387,746,56,1191,50,156,0,210,812,60,1082,0,78,0,83,406,24,512,0,11,0,15,232,41,282,0,0,0,0
SSC50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50010,0,4,0,4,78,5,86,0,3,0,4,65,3,71,32,3,0,39,93,15,141,109,0,0,109,62,10,185,69,0,7,74,85,5,160,20,14,0,29,96,12,143,0,23,0,23,88,9,115,0,4,0,4,45,3,54,0,0,0,0,27,4,32,240,50,7,288,628,67,987,0,3,0,3,60,0,66,0,3,0,3,57,3,65,51,3,0,55,84,6,151,135,4,5,143,41,7,196,67,3,5,69,110,11,195,7,36,0,42,108,12,157,3,29,0,28,76,3,108,0,8,0,8,52,13,66,0,0,0,0,30,0,32,259,85,14,359,621,52,1039,0,6,0,6,139,10,151,0,6,0,4,120,4,130,88,5,0,94,181,22,298,249,4,5,259,103,18,377,135,3,6,146,193,13,356,26,45,0,72,208,19,302,3,51,0,54,164,13,223,0,15,0,15,97,13,122,0,0,0,0
