SSC_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SSC50001,0,0,0,15,4,0,21,27,7,53
SSC50002,16,5,20,271,54,15,340,572,56,968
SSC50003,0,0,0,21,5,0,27,37,13,75
SSC50004,0,0,0,4,0,0,3,19,0,28
SSC50005,0,0,0,9,3,3,13,25,7,46
SSC50006,33,9,40,164,87,0,251,825,92,1170
SSC50007,0,0,0,8,5,0,12,22,0,38
SSC50008,53,9,58,1301,457,63,1820,4197,356,6371
SSC50009,0,3,3,0,0,0,0,4,3,9
SSC50010,52,9,62,497,134,18,649,1247,121,2019
SSC50011,0,0,3,1408,263,49,1715,2520,409,4639
SSC50012,0,0,0,4,0,0,4,8,3,19
SSC50013,4,0,4,126,49,3,181,267,34,479
SSC50014,0,0,0,17,4,0,23,64,8,90
SSC50015,0,0,0,0,0,0,0,5,0,11
SSC50016,3,0,3,100,37,3,135,192,20,347
SSC50017,0,0,0,9,4,0,18,27,8,56
SSC50018,0,0,0,0,0,0,0,9,0,9
SSC50019,0,0,0,32,14,0,49,140,20,210
SSC50020,0,0,0,9,0,0,9,35,0,50
SSC50021,0,0,0,0,0,0,0,0,0,0
SSC50022,144,68,218,1062,496,33,1596,3748,466,5806
SSC50023,0,0,0,10,4,0,11,31,0,40
SSC50024,105,13,118,699,286,22,1005,2307,161,3476
SSC50025,8,0,7,87,30,5,126,268,34,425
SSC50026,264,88,357,1951,755,76,2782,6772,1371,10925
SSC50027,0,0,0,13,0,0,10,20,5,40
SSC50028,0,0,0,6,0,0,6,5,0,9
SSC50029,0,0,0,5,0,0,13,21,0,35
SSC50030,4,0,4,18,8,0,21,61,4,89
SSC50031,18,0,18,354,178,5,533,1457,228,2219
SSC50032,48,5,47,487,144,17,649,1313,143,2102
SSC50033,0,0,0,0,4,0,4,0,3,10
SSC50034,19,0,19,218,66,8,289,713,82,1082
SSC50035,144,23,170,1065,422,43,1533,3226,348,5106
SSC50036,21,4,28,2160,440,77,2681,3744,285,6712
SSC50037,60,0,60,1708,250,50,2005,2218,208,4433
SSC50038,58,18,74,132,75,3,209,928,119,1252
SSC50039,115,23,148,2935,809,136,3881,6088,944,10921
SSC50040,18,0,17,2383,515,79,2979,3999,442,7425
SSC50041,0,0,0,3,0,0,3,3,0,8
SSC50042,0,0,0,3,3,0,6,6,0,15
SSC50043,0,0,0,11,0,0,13,23,0,42
SSC50044,0,0,0,0,3,0,3,13,0,23
SSC50045,0,0,0,9,0,0,6,22,0,34
SSC50046,3,0,3,7,0,0,8,8,0,16
SSC50047,0,0,0,3,0,0,3,4,7,14
SSC50048,0,0,0,44,21,0,68,87,4,165
SSC50049,0,0,0,0,0,0,0,12,0,11
SSC50050,0,0,0,4,0,0,4,21,19,40
SSC50051,5,0,10,171,69,3,249,584,74,904
SSC50052,0,0,0,30,9,0,37,77,18,131
SSC50053,212,152,360,1506,576,43,2126,5806,876,8811
SSC50054,86,12,100,7034,1554,296,8891,12116,2034,23041
SSC50055,75,16,97,1931,504,44,2479,6609,1152,10241
SSC50056,9,0,8,52,43,3,93,342,41,476
SSC50057,0,0,0,10,0,0,12,8,6,20
SSC50058,0,0,0,0,0,0,0,0,0,0
SSC50059,0,0,0,12,3,0,9,40,7,61
SSC50060,0,0,0,0,0,0,0,0,5,5
SSC50061,136,21,161,3036,1085,108,4231,9933,820,14981
SSC50062,0,0,0,6,0,0,6,11,3,19
SSC50063,0,0,0,5,10,0,14,42,0,59
SSC50064,0,0,0,8,4,0,9,23,3,41
SSC50065,0,0,0,5,0,0,7,21,12,40
SSC50066,0,0,0,44,13,4,65,154,26,237
SSC50067,0,0,0,34,26,7,67,108,12,189
SSC50068,15,0,17,366,121,21,502,1081,127,1711
SSC50069,13,0,15,2170,415,63,2649,3657,488,6793
SSC50070,0,0,0,0,0,0,0,0,0,0
SSC50071,0,0,0,35,5,0,46,68,11,123
SSC50072,0,0,0,3,0,0,3,13,0,21
SSC50073,0,0,0,3,0,0,3,9,0,12
SSC50074,0,0,0,8,0,0,8,9,5,21
SSC50075,8,0,8,155,52,9,215,474,48,737
SSC50076,0,0,0,255,35,4,301,1259,406,1961
SSC50077,3,0,3,38,14,0,52,170,17,244
SSC50078,211,32,238,1746,550,97,2391,5497,585,8466
SSC50079,84,12,97,605,267,19,895,2023,163,3075
SSC50080,0,0,0,0,0,0,0,0,0,0
SSC50081,0,0,0,970,140,41,1149,1354,507,3004
SSC50082,34,8,44,535,139,35,703,1441,162,2310
SSC50083,287,151,444,2484,738,96,3315,7716,936,11967
SSC50084,35,4,41,194,68,13,273,803,121,1194
SSC50085,3,0,3,39,11,4,61,53,8,116
SSC50086,96,14,116,814,297,57,1168,2649,298,4112
SSC50087,0,0,0,0,0,0,0,0,0,0
SSC50088,0,0,0,11,8,9,24,20,3,52
SSC50089,0,0,0,8,0,0,11,20,11,38
SSC50090,73,16,86,1198,399,50,1652,4018,451,6118
SSC50091,80,17,95,937,289,40,1262,2806,354,4421
SSC50092,17,0,16,533,180,27,741,1359,149,2239
SSC50093,93,11,96,1418,513,48,1977,4761,556,7298
SSC50094,3,0,3,25,14,0,39,73,9,114
SSC50095,0,0,0,3,0,0,3,24,12,38
SSC50096,0,0,0,4,3,0,4,15,6,27
SSC50097,0,0,0,17,5,0,22,80,8,108
SSC50098,22,7,26,1547,392,47,1986,3345,362,5694
SSC50099,0,0,0,0,0,0,0,16,3,19
SSC50100,4,0,4,10,3,0,18,73,5,89
SSC50101,0,0,0,26,8,0,32,90,10,131
SSC50102,32,6,40,698,267,36,1005,1952,181,3137
SSC50103,3,0,3,39,19,4,57,148,15,223
SSC50104,19,4,23,222,108,13,342,812,118,1267
SSC50105,124,31,161,914,306,30,1249,3885,655,5780
SSC50106,3,0,8,46,10,0,50,122,16,192
SSC50107,0,0,0,40,13,8,60,94,21,170
SSC50108,0,0,0,0,0,0,0,10,3,20
SSC50109,0,0,0,21,11,0,28,63,16,114
SSC50110,12,0,14,1009,248,39,1300,2420,261,3976
SSC50111,540,153,698,665,269,8,945,6198,920,8060
SSC50112,26,3,26,220,95,9,321,773,140,1237
SSC50113,0,0,0,3,0,0,8,16,0,25
SSC50114,0,0,0,0,0,0,0,0,0,0
SSC50115,4,0,7,1540,283,52,1879,2198,270,4343
SSC50116,31,5,36,127,53,4,185,664,146,988
SSC50117,117,33,148,973,376,44,1395,3206,292,4890
SSC50118,9,0,13,95,69,3,163,372,31,567
SSC50119,188,109,299,1040,458,44,1545,3483,453,5484
SSC50120,0,0,0,3,0,0,3,3,0,5
SSC50121,0,0,0,23,9,5,30,122,22,179
SSC50122,0,0,0,5,6,0,9,5,0,18
SSC50123,4,0,4,279,68,14,360,535,108,1013
SSC50124,0,0,0,0,0,0,0,0,0,0
SSC50125,0,0,0,17,3,0,19,24,11,51
SSC50126,13,0,15,160,66,13,230,637,93,956
SSC50127,0,0,0,0,0,0,0,0,0,0
SSC50128,0,0,0,3,0,0,3,5,0,4
SSC50129,7,0,9,233,69,16,315,580,83,976
SSC50130,0,0,0,8,3,0,11,32,16,58
SSC50131,0,0,0,18,6,0,30,29,4,61
SSC50132,33,52,87,163,99,14,268,667,214,1148
SSC50133,0,0,0,8,4,3,14,38,3,53
SSC50134,0,0,0,6,3,0,13,15,3,37
SSC50135,0,0,0,6,0,0,11,11,0,22
