SSC_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
SSC50001,..,0,0,7,6,0,3,0,0,13,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,3,..,..,..,..,..,..,..,..,3,..,6,..,..,..,..,..,..,..,6,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,8,3,5,3,0,0,35,..,0,0,9,0,3,0,0,0,14,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,9,..,..,..,..,..,..,..,..,9,..,3,..,..,..,..,..,..,..,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SSC50002,..,0,27,50,61,44,33,26,4,236,..,8,7,13,12,5,9,0,0,57,..,0,0,0,3,3,0,0,0,11,166,..,..,..,..,..,..,..,..,166,..,18,..,..,..,..,..,..,..,18,..,21,4,0,0,0,0,0,0,31,..,0,3,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,4,..,0,3,0,0,0,0,0,0,8,..,0,8,0,4,9,4,4,0,33,0,3,0,0,0,3,0,0,0,9,166,50,56,70,80,60,41,26,4,564,..,0,36,58,60,45,29,19,3,259,..,9,13,15,13,10,3,0,0,58,..,0,4,12,0,4,0,0,0,27,124,..,..,..,..,..,..,..,..,124,..,35,..,..,..,..,..,..,..,35,..,12,3,0,0,0,0,0,0,14,..,0,0,0,0,0,3,0,0,4,..,0,0,0,0,0,0,0,0,0
SSC50003,..,0,0,6,3,8,3,0,0,19,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,13,..,..,..,..,..,..,..,..,13,..,0,..,..,..,..,..,..,..,0,..,3,0,0,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,3,0,0,0,0,0,0,0,5,..,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,13,4,3,9,4,6,7,0,0,45,..,0,0,3,7,3,0,0,0,17,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,11,..,..,..,..,..,..,..,..,11,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SSC50004,..,0,0,0,0,4,3,0,0,6,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,3,..,..,..,..,..,..,..,..,3,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,4,4,3,4,3,0,0,19,..,0,0,0,3,5,0,0,0,11,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SSC50005,..,0,0,3,3,0,0,0,0,5,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,3,6,..,..,..,..,..,..,..,..,6,..,0,..,..,..,..,..,..,..,0,..,3,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,4,4,3,4,0,3,3,0,32,..,0,0,0,3,3,0,0,0,10,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,3,0,0,0,4,10,..,..,..,..,..,..,..,..,10,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SSC50006,..,0,9,20,39,62,55,28,6,219,..,3,18,8,10,23,10,0,0,73,..,0,0,0,8,3,3,3,0,17,79,..,..,..,..,..,..,..,..,79,..,19,..,..,..,..,..,..,..,19,..,18,12,0,7,5,4,0,0,39,..,3,0,0,0,0,0,0,0,8,..,0,0,0,0,0,0,0,0,0,..,0,13,0,0,6,3,0,0,24,..,0,7,5,16,18,24,9,6,78,0,0,4,0,3,0,3,0,0,15,79,46,64,36,84,114,100,38,12,565,..,0,15,29,54,76,48,11,6,228,..,5,11,11,15,18,7,0,0,72,..,0,0,8,7,5,0,3,3,33,66,..,..,..,..,..,..,..,..,66,..,28,..,..,..,..,..,..,..,28,..,9,3,0,0,4,0,0,0,19,..,3,0,0,0,0,0,0,3,8,..,0,0,3,0,0,0,0,0,4
SSC50007,..,0,0,3,4,4,3,0,0,9,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,3,..,..,..,..,..,..,..,..,3,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,3,6,4,4,5,0,0,21,..,0,0,5,3,0,0,0,0,13,..,0,3,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,3,..,..,..,..,..,..,..,..,3,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SSC50008,..,3,145,280,404,364,182,81,14,1476,..,20,78,55,55,29,13,0,0,254,..,0,0,12,22,15,3,3,0,56,773,..,..,..,..,..,..,..,..,773,..,281,..,..,..,..,..,..,..,281,..,206,124,44,16,8,0,0,0,405,..,42,24,7,12,9,11,3,0,107,..,17,23,17,5,5,0,0,0,65,..,17,37,35,17,9,3,3,0,125,..,11,23,34,37,44,27,21,7,193,7,11,16,5,8,5,0,0,0,55,778,610,478,485,579,480,237,119,26,3790,..,24,213,344,381,335,142,61,6,1506,..,27,80,62,53,30,10,0,0,260,..,12,48,54,79,48,20,18,5,283,727,..,..,..,..,..,..,..,..,727,..,254,..,..,..,..,..,..,..,254,..,135,80,17,8,7,0,0,0,250,..,34,19,10,13,26,22,13,8,137,..,14,12,0,3,3,4,0,0,30
SSC50009,..,0,0,0,0,3,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,..,0,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SSC50010,..,0,42,132,113,94,81,37,19,513,..,8,23,16,11,10,9,0,0,68,..,0,0,0,7,9,0,3,3,17,271,..,..,..,..,..,..,..,..,271,..,70,..,..,..,..,..,..,..,70,..,40,25,0,7,3,0,0,0,77,..,13,8,0,0,0,0,0,0,27,..,8,3,3,0,0,0,0,0,15,..,3,10,4,0,0,3,0,0,22,..,3,8,11,16,11,19,8,9,85,0,3,0,3,0,4,0,3,0,12,274,152,126,169,150,132,106,50,26,1181,..,0,64,139,133,99,67,30,4,529,..,10,31,14,10,5,4,0,0,81,..,0,3,16,23,12,7,3,3,71,240,..,..,..,..,..,..,..,..,240,..,71,..,..,..,..,..,..,..,71,..,18,18,3,4,5,3,0,0,52,..,6,3,0,0,6,0,0,4,22,..,3,4,0,0,0,0,0,0,9
