SSC_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SSC50001,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,5,0,3,0,0,0,29,..,0,4,11,3,3,3,0,0,26,..,0,0,3,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,3,17,..,..,..,..,..,..,..,..,17,..,8,..,..,..,..,..,..,..,8,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,17,13,3,18,7,4,3,0,0,62
SSC50002,..,0,0,0,0,0,0,3,0,5,..,0,4,0,7,7,17,5,9,44,3,5,0,4,0,5,0,0,0,16,125,66,64,95,81,67,47,32,12,584,..,0,69,108,117,88,65,45,10,497,..,16,23,28,23,12,12,0,0,111,..,0,4,15,8,5,0,0,0,36,294,..,..,..,..,..,..,..,..,294,..,54,..,..,..,..,..,..,..,54,..,32,6,0,0,0,0,0,0,43,..,0,3,0,0,0,3,0,0,8,..,3,0,0,0,0,0,0,0,3,..,0,4,0,0,0,0,3,0,11,..,0,7,3,11,17,22,7,9,77,3,6,3,4,0,3,0,0,0,25,296,113,116,160,163,130,95,57,19,1148
SSC50003,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,11,4,3,3,12,3,0,3,0,47,..,0,3,9,14,8,3,0,0,42,..,0,3,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,25,..,..,..,..,..,..,..,..,25,..,0,..,..,..,..,..,..,..,0,..,4,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,3,0,0,0,0,0,0,0,7,..,0,0,0,0,3,3,5,0,7,0,0,0,0,0,0,0,0,0,0,25,8,11,13,12,14,7,4,0,89
SSC50004,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,15,..,0,3,4,5,5,3,0,0,17,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,7,..,..,..,..,..,..,..,..,7,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,3,7,4,5,3,0,0,30
SSC50005,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,3,3,0,0,0,25,..,0,3,5,4,3,0,0,0,19,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,3,0,0,0,8,15,..,..,..,..,..,..,..,..,15,..,0,..,..,..,..,..,..,..,0,..,4,0,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15,8,9,6,3,5,8,3,0,58
SSC50006,..,3,7,0,0,5,7,0,0,16,..,3,7,6,11,24,24,29,9,114,0,3,3,0,0,4,4,5,0,19,66,61,50,54,96,135,87,45,22,607,..,0,23,51,92,130,102,38,10,449,..,9,29,13,33,45,14,0,0,144,..,0,0,12,14,6,3,4,3,48,137,..,..,..,..,..,..,..,..,137,..,44,..,..,..,..,..,..,..,44,..,29,11,0,3,3,4,0,0,53,..,3,0,0,0,3,3,0,3,10,..,0,0,3,0,0,0,0,0,5,..,3,20,0,3,8,9,0,0,41,..,6,22,5,27,41,49,32,18,200,0,6,4,0,3,3,11,5,0,32,137,100,113,87,184,247,189,82,33,1178
SSC50007,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,5,3,0,5,0,0,21,..,0,0,7,10,4,7,0,0,26,..,4,3,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,5,..,..,..,..,..,..,..,..,5,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,3,6,7,10,4,10,0,0,45
SSC50008,..,12,10,3,10,7,4,3,0,42,..,5,15,14,19,57,54,50,19,229,3,14,11,3,4,11,9,0,0,53,732,527,488,502,557,529,260,142,39,3779,..,27,359,618,787,701,325,145,22,2986,..,48,160,120,100,61,20,0,0,515,..,12,51,66,101,60,20,19,5,338,1502,..,..,..,..,..,..,..,..,1502,..,532,..,..,..,..,..,..,..,532,..,344,211,60,24,17,0,0,0,652,..,75,48,13,24,33,32,20,10,249,..,31,35,14,9,10,3,0,0,103,..,25,45,41,24,19,11,9,0,174,..,12,35,46,52,99,82,69,21,420,11,22,22,9,8,14,11,3,0,109,1514,1142,965,991,1139,1007,498,259,62,7568
SSC50009,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,..,0,0,0,0,4,0,0,3,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,12
SSC50010,..,4,8,3,0,0,0,0,0,22,..,0,12,7,11,23,25,26,17,114,3,0,5,0,0,8,0,3,3,22,240,117,145,187,184,155,102,62,34,1224,..,0,112,268,238,194,145,66,19,1047,..,12,56,32,25,11,9,0,0,145,..,0,3,19,25,17,4,5,11,84,508,..,..,..,..,..,..,..,..,508,..,145,..,..,..,..,..,..,..,145,..,63,39,8,10,6,3,0,0,126,..,19,10,0,0,5,0,0,3,45,..,9,7,3,0,0,0,0,0,19,..,8,22,3,0,0,3,0,0,46,..,7,18,16,27,33,40,38,22,198,7,4,5,3,3,7,0,4,3,36,514,270,273,348,336,280,209,117,56,2402
