SSC_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SSC50001,3,7,0,3,3,16,0,0,6,19,11,35,0,0,0,3,0,4,3,5,9,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,3,3,0,0,21,56
SSC50002,143,269,3,13,16,77,9,39,114,436,140,565,3,15,14,35,20,60,38,109,177,680,0,0,4,13,0,0,18,51,24,59,3,9,4,12,8,9,9,23,37,88,0,3,352,1033
SSC50003,10,17,0,0,0,0,0,0,13,45,13,45,0,0,0,4,7,13,5,16,16,57,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,20,78
SSC50004,9,17,0,0,0,4,0,0,0,5,3,8,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,13,28
SSC50005,7,10,0,8,0,0,0,0,0,8,3,15,0,0,0,0,0,0,0,0,3,21,0,0,0,0,0,4,0,7,3,12,0,0,0,0,0,3,0,3,6,16,0,0,13,47
SSC50006,202,400,0,7,11,51,3,17,53,197,71,267,0,5,17,45,16,50,32,97,102,367,0,9,4,10,3,12,10,24,22,55,3,3,3,6,21,50,32,63,51,121,3,9,362,891
SSC50007,9,19,0,0,0,0,0,0,3,12,3,12,0,0,0,4,0,3,3,5,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,41
SSC50008,665,1327,26,149,137,695,26,122,501,1975,692,2940,95,387,97,319,253,804,437,1508,1133,4455,3,13,28,95,20,67,111,311,158,486,22,65,27,66,128,282,176,415,335,905,38,88,2170,6769
SSC50009,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
SSC50010,262,515,3,18,40,168,6,26,207,803,256,1013,22,105,27,84,53,149,99,342,357,1350,0,0,6,22,3,11,23,60,34,93,3,8,16,46,29,62,52,113,85,211,10,30,717,2104
