SSC_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
SSC50001,9,0,0,0,0,0,0,9
SSC50002,157,18,4,0,0,0,0,177
SSC50003,15,0,0,0,0,0,0,16
SSC50004,3,0,0,0,0,0,0,3
SSC50005,3,0,0,0,0,0,0,3
SSC50006,83,15,3,0,0,0,0,102
SSC50007,7,0,0,0,0,0,0,7
SSC50008,993,68,48,11,0,0,8,1133
SSC50009,0,0,0,0,0,0,0,0
SSC50010,329,18,4,3,0,0,0,357
SSC50011,792,61,43,4,0,0,3,899
SSC50012,3,0,0,0,0,0,0,3
SSC50013,69,4,3,0,0,0,0,76
SSC50014,11,0,0,0,0,0,0,18
SSC50015,0,0,0,0,0,0,0,0
SSC50016,63,3,3,0,0,0,0,65
SSC50017,4,0,0,0,0,0,0,4
SSC50018,0,0,0,0,0,0,0,0
SSC50019,29,3,0,0,0,0,0,32
SSC50020,12,0,0,0,0,0,0,12
SSC50021,0,0,0,0,0,0,0,0
SSC50022,808,41,16,7,0,0,0,874
SSC50023,7,0,0,0,0,0,0,10
SSC50024,539,30,9,3,0,0,3,585
SSC50025,59,3,3,0,0,0,0,64
SSC50026,903,108,70,27,13,0,17,1132
SSC50027,4,0,0,0,0,0,0,4
SSC50028,3,0,0,0,0,0,0,3
SSC50029,7,0,0,0,0,0,0,7
SSC50030,12,0,0,0,0,0,0,12
SSC50031,208,27,8,3,0,0,0,248
SSC50032,308,18,11,6,0,0,0,348
SSC50033,0,0,0,0,0,0,0,0
SSC50034,104,8,7,0,3,0,0,122
SSC50035,805,34,20,8,0,0,0,869
SSC50036,1347,77,69,16,0,0,4,1509
SSC50037,978,45,48,12,3,0,0,1087
SSC50038,86,6,5,0,0,0,0,96
SSC50039,1641,121,117,13,3,3,12,1910
SSC50040,1332,86,72,13,0,3,7,1516
SSC50041,0,0,0,0,0,0,0,0
SSC50042,0,0,0,0,0,0,0,3
SSC50043,10,0,0,0,0,0,0,10
SSC50044,0,0,0,0,0,0,0,0
SSC50045,9,0,0,0,0,0,0,7
SSC50046,3,0,0,0,0,0,0,3
SSC50047,3,0,0,0,0,0,0,3
SSC50048,24,0,0,0,0,0,0,24
SSC50049,0,0,0,0,0,0,0,0
SSC50050,0,0,0,0,0,0,0,0
SSC50051,102,11,3,3,0,0,0,116
SSC50052,20,0,0,0,0,0,0,20
SSC50053,952,55,32,9,0,0,3,1056
SSC50054,3870,319,298,36,5,6,20,4558
SSC50055,1023,97,50,18,3,0,0,1193
SSC50056,26,0,9,0,0,0,0,35
SSC50057,0,0,0,0,0,0,0,5
SSC50058,0,0,0,0,0,0,0,0
SSC50059,9,0,0,0,0,0,0,9
SSC50060,0,0,0,0,0,0,0,0
SSC50061,2292,189,102,43,3,6,13,2638
SSC50062,3,0,0,0,0,0,0,3
SSC50063,4,0,0,0,0,0,0,4
SSC50064,3,0,0,0,0,0,0,7
SSC50065,3,0,0,0,0,0,0,0
SSC50066,31,0,3,0,0,0,0,35
SSC50067,6,3,0,3,0,0,0,8
SSC50068,273,12,9,5,0,0,0,300
SSC50069,1107,77,70,18,4,0,3,1282
SSC50070,0,0,0,0,0,0,0,0
SSC50071,10,0,0,0,0,0,0,10
SSC50072,3,0,0,0,0,0,0,3
SSC50073,0,0,0,0,0,0,0,0
SSC50074,3,0,0,0,0,0,0,3
SSC50075,106,10,3,4,0,0,0,130
SSC50076,0,0,0,0,0,0,0,0
SSC50077,35,4,0,0,0,0,0,45
SSC50078,1042,88,42,10,0,3,9,1187
SSC50079,493,19,4,8,0,0,0,530
SSC50080,0,0,0,0,0,0,0,0
SSC50081,542,28,28,4,0,0,3,611
SSC50082,286,29,17,3,0,0,0,331
SSC50083,1487,117,31,6,0,0,5,1651
SSC50084,88,10,3,0,0,0,0,103
SSC50085,26,0,0,0,0,0,0,29
SSC50086,509,39,25,0,0,0,0,573
SSC50087,0,0,0,0,0,0,0,0
SSC50088,8,0,0,0,0,0,0,11
SSC50089,3,0,0,0,0,0,0,3
SSC50090,779,64,23,14,0,3,3,883
SSC50091,601,44,13,0,0,0,3,662
SSC50092,379,24,14,4,3,0,3,428
SSC50093,958,71,45,34,3,0,3,1115
SSC50094,20,0,0,0,0,0,0,23
SSC50095,0,0,0,0,0,0,0,0
SSC50096,5,0,0,0,0,0,0,3
SSC50097,10,0,0,0,0,0,0,14
SSC50098,971,87,41,8,0,0,3,1115
SSC50099,3,0,0,0,0,0,0,3
SSC50100,6,0,0,0,0,0,0,11
SSC50101,14,0,0,3,0,0,0,22
SSC50102,424,40,20,5,3,3,3,502
SSC50103,32,0,0,0,0,0,0,32
SSC50104,123,16,13,4,0,0,0,148
SSC50105,543,42,15,11,0,0,0,613
SSC50106,24,0,3,0,0,0,0,28
SSC50107,22,3,3,0,0,0,0,31
SSC50108,0,0,0,0,0,0,0,0
SSC50109,17,0,0,0,0,0,0,16
SSC50110,712,35,37,29,3,0,0,819
SSC50111,383,17,18,4,0,0,0,425
SSC50112,122,16,4,0,0,0,0,145
SSC50113,3,0,0,0,0,0,0,3
SSC50114,0,0,0,0,0,0,0,0
SSC50115,824,57,50,12,5,0,3,952
SSC50116,65,3,5,0,0,0,7,85
SSC50117,685,51,21,6,0,0,0,767
SSC50118,83,3,0,0,0,0,0,86
SSC50119,715,47,18,3,0,0,0,784
SSC50120,0,0,0,0,0,0,0,0
SSC50121,18,0,0,0,0,0,0,18
SSC50122,3,0,0,0,0,0,0,3
SSC50123,134,16,10,3,0,0,0,162
SSC50124,0,0,0,0,0,0,0,0
SSC50125,6,0,0,0,0,0,0,7
SSC50126,95,4,5,4,0,0,0,110
SSC50127,0,0,0,0,0,0,0,0
