SSC_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SSC50001,0,0,7,10,8,20,0,20
SSC50002,4,115,220,57,26,425,10,433
SSC50003,0,3,12,5,7,31,0,35
SSC50004,0,0,4,0,9,12,0,12
SSC50005,0,7,4,3,6,17,0,17
SSC50006,35,226,216,53,21,555,23,577
SSC50007,0,5,6,8,6,20,0,20
SSC50008,83,617,1048,472,288,2513,66,2575
SSC50009,0,0,7,0,0,7,0,7
SSC50010,32,266,463,106,47,917,13,928
SSC50011,31,729,1004,234,68,2061,50,2110
SSC50012,0,0,3,0,3,4,0,4
SSC50013,3,35,87,52,32,214,10,223
SSC50014,0,3,9,12,10,41,3,40
SSC50015,0,0,0,3,0,4,0,3
SSC50016,0,18,64,33,21,140,6,144
SSC50017,0,0,6,5,3,18,0,18
SSC50018,0,0,0,0,0,3,0,3
SSC50019,0,3,24,23,29,79,0,79
SSC50020,0,0,8,6,12,17,0,17
SSC50021,0,0,0,0,0,0,0,0
SSC50022,82,809,1011,378,201,2483,54,2532
SSC50023,0,3,8,8,7,21,0,22
SSC50024,54,470,700,207,86,1520,40,1558
SSC50025,4,23,84,42,30,180,0,180
SSC50026,575,2179,1508,476,260,4995,214,5215
SSC50027,0,3,3,11,3,15,0,15
SSC50028,0,0,0,3,0,4,0,4
SSC50029,0,3,6,0,3,17,0,17
SSC50030,0,3,12,5,11,36,4,39
SSC50031,22,302,424,119,69,940,21,967
SSC50032,46,381,383,111,56,977,23,1007
SSC50033,0,0,0,0,0,0,0,0
SSC50034,56,201,184,50,30,514,17,532
SSC50035,53,633,956,340,187,2177,33,2212
SSC50036,28,657,1386,466,228,2766,42,2815
SSC50037,23,464,1059,253,87,1887,23,1914
SSC50038,22,222,237,63,22,571,35,602
SSC50039,103,1384,2212,757,314,4773,111,4884
SSC50040,48,870,1709,468,155,3250,52,3298
SSC50041,0,0,0,0,0,0,0,0
SSC50042,0,0,0,0,3,3,0,3
SSC50043,0,5,3,3,3,15,0,16
SSC50044,0,0,3,3,0,7,0,4
SSC50045,0,0,3,3,4,12,0,14
SSC50046,0,0,3,0,5,7,0,7
SSC50047,0,0,0,0,0,3,0,3
SSC50048,0,16,15,19,21,69,0,75
SSC50049,0,3,0,0,3,9,0,9
SSC50050,0,0,4,3,4,12,0,13
SSC50051,8,78,162,88,70,407,19,427
SSC50052,0,7,18,8,8,51,3,51
SSC50053,348,1621,1450,402,221,4040,143,4182
SSC50054,136,2777,4791,1390,650,9745,197,9946
SSC50055,360,1898,1565,441,164,4429,214,4646
SSC50056,6,82,86,37,19,224,10,236
SSC50057,0,5,3,0,4,11,0,11
SSC50058,0,0,0,0,0,0,0,0
SSC50059,0,8,5,10,5,28,0,28
SSC50060,0,0,0,0,0,0,0,0
SSC50061,172,1490,2388,1127,714,5892,128,6022
SSC50062,0,0,6,0,0,5,0,5
SSC50063,3,19,4,4,3,36,0,36
SSC50064,0,0,6,3,3,15,0,15
SSC50065,0,5,5,0,8,17,0,20
SSC50066,0,17,47,19,13,96,6,98
SSC50067,6,0,0,0,0,7,0,7
SSC50068,7,97,247,117,153,629,9,636
SSC50069,77,895,1404,416,143,2925,70,3001
