SSC_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SSC50001,..,3,3,4,0,4,3,0,3,3,0,3,5,0,5,0,0,0,19,3,20
SSC50002,..,75,75,157,6,164,58,0,64,95,0,95,27,0,27,11,0,11,352,84,433
SSC50003,..,7,7,9,0,10,5,0,5,6,0,7,3,0,3,0,0,0,25,13,35
SSC50004,..,3,3,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8,3,12
SSC50005,..,8,8,8,0,7,0,0,0,4,0,4,0,0,0,3,0,3,11,4,17
SSC50006,..,197,197,229,20,252,61,0,63,51,0,47,10,0,10,3,0,3,361,221,577
SSC50007,..,3,3,8,0,8,3,0,3,3,0,3,0,0,0,0,0,0,15,3,20
SSC50008,..,419,419,690,45,738,499,11,514,526,5,532,222,3,223,147,3,146,2082,493,2575
SSC50009,..,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7
SSC50010,..,198,198,298,13,313,146,4,150,183,0,185,64,0,64,17,0,17,713,221,928
SSC50011,..,330,330,674,41,717,434,8,445,417,4,422,151,0,151,52,0,52,1729,380,2110
SSC50012,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4
SSC50013,..,54,54,73,0,76,34,0,34,38,0,38,20,0,20,9,0,9,168,53,223
SSC50014,..,11,11,12,0,17,7,0,7,4,0,4,3,0,3,3,0,3,33,8,40
SSC50015,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
SSC50016,..,12,12,57,3,61,21,0,21,28,0,28,23,0,23,5,0,5,133,12,144
SSC50017,..,4,4,5,0,5,3,0,3,0,0,0,3,0,3,0,0,0,15,4,18
SSC50018,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC50019,..,13,13,29,3,33,5,0,5,18,0,18,9,0,9,4,0,4,67,15,79
SSC50020,..,0,0,10,0,10,5,0,5,5,0,5,0,0,0,0,0,0,17,0,17
SSC50021,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50022,..,599,599,857,45,903,399,11,410,403,6,408,166,0,166,55,0,53,1873,663,2532
SSC50023,..,8,8,10,0,11,3,0,3,0,0,0,3,0,3,0,0,0,15,10,22
SSC50024,..,321,321,485,26,518,263,3,265,314,9,321,105,3,107,25,0,25,1192,367,1558
SSC50025,..,20,20,82,0,81,19,0,19,35,0,35,19,0,19,4,0,4,156,22,180
SSC50026,..,1704,1704,1557,161,1721,822,23,849,523,0,530,226,0,226,183,0,182,3315,1897,5215
SSC50027,..,4,4,6,0,6,0,0,0,3,0,3,0,0,0,0,0,0,10,4,15
SSC50028,..,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4
SSC50029,..,0,0,7,0,7,3,0,3,3,0,3,0,0,0,0,0,0,17,0,17
SSC50030,..,7,7,11,0,11,5,0,5,4,0,4,3,0,3,0,0,0,30,7,39
SSC50031,..,220,220,373,42,414,139,12,152,120,4,125,38,3,40,10,0,10,682,285,967
SSC50032,..,279,279,295,18,318,153,3,151,169,0,169,63,0,63,30,0,30,707,302,1007
SSC50033,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50034,..,166,166,167,15,185,73,4,83,60,0,59,14,0,14,25,0,24,335,196,532
SSC50035,..,486,486,679,43,725,331,11,344,405,9,408,181,3,184,55,3,59,1655,552,2212
SSC50036,..,324,324,675,42,718,515,19,531,811,3,817,308,3,312,110,0,106,2421,390,2815
SSC50037,..,192,192,450,30,478,399,5,408,571,5,580,192,0,189,60,0,60,1673,238,1914
SSC50038,..,214,214,258,17,273,58,3,60,45,0,45,15,0,15,0,0,0,373,226,602
SSC50039,..,904,904,1579,76,1661,812,6,822,957,8,968,375,0,375,157,0,155,3883,1003,4884
SSC50040,..,435,435,991,64,1057,638,6,643,769,3,768,280,0,280,122,0,122,2790,503,3298
SSC50041,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
