SSC_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
SSC50001,18,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20
SSC50002,378,17,0,0,0,397,24,0,0,0,0,30,5,0,0,0,0,5,411,20,0,5,0,433
SSC50003,21,0,0,0,0,24,7,0,0,0,0,7,3,0,0,0,0,3,31,0,0,0,0,35
SSC50004,10,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,12
SSC50005,12,0,0,0,0,15,8,0,0,0,0,8,0,0,0,0,0,0,19,0,0,0,0,17
SSC50006,409,41,3,4,11,463,74,24,0,0,0,100,9,0,0,0,0,14,489,69,7,4,9,577
SSC50007,19,0,0,0,0,19,4,0,0,0,0,4,0,0,0,0,0,0,20,0,0,0,0,20
SSC50008,2105,155,0,0,0,2258,182,70,0,0,0,250,53,9,0,0,0,66,2337,237,0,0,0,2575
SSC50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
SSC50010,663,157,6,0,3,834,60,14,0,0,0,79,11,3,0,0,0,17,738,184,9,0,3,928
SSC50011,1889,58,0,0,3,1958,119,13,0,0,0,129,26,0,0,0,0,24,2033,76,0,0,8,2110
SSC50012,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SSC50013,184,0,0,0,0,186,34,0,0,0,0,37,3,0,0,0,0,3,222,0,0,3,0,223
SSC50014,29,0,0,0,0,36,6,0,0,0,0,6,0,0,0,0,0,5,41,0,0,0,3,40
SSC50015,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC50016,130,0,3,7,0,137,4,0,0,0,0,4,6,0,0,0,0,6,134,0,3,7,0,144
SSC50017,13,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,18
SSC50018,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC50019,72,0,0,0,0,69,6,0,0,0,0,6,0,0,0,0,0,0,80,0,0,0,0,79
SSC50020,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,17
SSC50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50022,1500,553,259,0,14,2323,68,56,33,0,0,158,23,11,5,0,0,48,1591,624,304,0,14,2532
SSC50023,21,0,0,0,0,21,4,0,0,0,0,4,0,0,0,0,0,0,22,0,0,0,0,22
SSC50024,1103,300,4,0,0,1410,93,25,0,0,0,117,20,8,0,0,0,24,1218,331,4,0,0,1558
SSC50025,165,0,0,0,0,166,10,0,0,0,0,10,0,0,0,0,0,0,174,0,0,0,0,180
SSC50026,2813,950,94,4,10,3877,674,471,30,0,3,1182,86,69,0,0,0,156,3580,1489,123,6,18,5215
SSC50027,17,0,0,0,0,17,4,0,0,0,0,4,0,0,0,0,0,0,15,0,0,0,0,15
SSC50028,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4
SSC50029,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17
SSC50030,32,0,0,0,0,32,6,0,0,0,0,6,0,0,0,0,0,0,39,0,0,0,0,39
SSC50031,611,173,56,6,5,856,61,24,3,3,0,96,9,3,0,0,0,15,684,199,62,9,9,967
SSC50032,780,64,0,0,0,838,131,8,0,0,0,143,25,0,0,0,0,25,933,70,0,0,0,1007
SSC50033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50034,384,36,3,0,0,428,76,14,6,0,0,99,9,0,0,0,0,9,467,47,10,0,0,532
SSC50035,1508,441,52,0,3,2006,114,45,18,0,0,175,16,8,3,0,0,29,1635,498,70,0,3,2212
SSC50036,2555,89,0,5,0,2646,120,5,0,0,0,132,30,0,0,0,0,35,2709,97,0,5,3,2815
SSC50037,1521,281,0,3,0,1806,60,13,0,0,0,77,16,7,0,0,0,22,1606,302,0,3,4,1914
SSC50038,358,8,19,16,8,416,127,3,26,18,0,168,10,0,3,0,0,16,499,12,47,36,8,602
SSC50039,4078,158,30,18,4,4294,418,62,11,13,0,504,79,8,0,0,0,94,4572,231,40,35,7,4884
SSC50040,2636,463,4,0,6,3108,113,40,0,0,0,149,34,8,0,0,0,46,2784,505,4,0,4,3298
SSC50041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50042,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC50043,11,0,0,0,0,11,3,0,0,0,0,3,0,0,0,0,0,0,16,0,0,0,0,16
SSC50044,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4
SSC50045,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14
SSC50046,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
SSC50047,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC50048,59,0,0,0,0,60,12,0,0,0,0,12,0,0,0,0,0,0,68,0,0,0,0,75
SSC50049,7,0,0,0,0,7,3,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,9
SSC50050,5,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,13
SSC50051,351,0,0,5,0,358,61,0,0,0,0,61,13,0,0,0,0,13,417,0,0,5,0,427
SSC50052,34,0,0,0,0,40,13,0,0,0,0,13,0,0,0,0,0,0,49,0,0,0,0,51
SSC50053,1652,1585,7,0,3,3250,463,365,3,0,0,831,45,52,0,0,0,103,2162,2001,12,0,9,4182
SSC50054,8704,365,0,31,23,9120,588,56,0,13,3,662,151,7,0,4,3,166,9443,430,0,46,29,9946
SSC50055,1699,1664,88,0,17,3466,523,454,21,0,0,1004,75,102,3,0,0,180,2305,2214,113,0,16,4646
SSC50056,189,4,0,3,4,197,28,0,0,0,0,34,8,0,0,0,0,8,221,4,0,3,8,236
SSC50057,7,0,0,0,0,7,3,0,0,0,0,3,0,0,0,0,0,0,11,0,0,0,0,11
SSC50058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50059,21,0,0,0,0,21,3,0,0,0,0,3,3,0,0,0,0,3,28,0,0,0,0,28
SSC50060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50061,5103,218,0,0,3,5323,497,101,0,0,0,595,88,9,0,0,0,101,5688,330,0,0,3,6022
