SSC_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SSC50001,27,20,53,17,6,23,4,3,7,0,0,4,0,0,0,20,15,38,7,6,8,0,0,0,74.1,75,71.7,77.8,45,64.2,0,0,0,0,0,0,7,4,10,0,3,4,3,4,12,0,0,0,0,0,0,3,4,12,30,21,47,3,7,10,17,14,26,19,14,25
SSC50002,469,501,968,214,98,310,67,168,237,18,26,42,20,14,31,322,304,622,123,178,300,6.2,4.6,5,68.7,60.7,64.3,63.8,58.3,60.8,3,12,20,11,21,27,42,81,122,48,61,110,153,75,229,3,6,15,11,13,22,164,95,264,469,474,943,120,116,238,263,259,520,300,301,607
SSC50003,39,33,75,18,4,21,12,18,27,0,0,0,3,0,4,26,24,50,5,9,14,11.5,0,8,66.7,72.7,66.7,76.9,66.7,64,0,0,0,0,0,0,0,5,5,0,3,5,16,3,16,0,0,0,0,0,0,17,7,23,41,39,86,0,3,3,30,34,61,12,4,17
SSC50004,17,12,28,13,0,14,3,3,8,3,0,3,0,0,0,18,8,20,0,0,0,0,0,0,105.9,66.7,71.4,111.8,25,89.3,0,0,0,0,0,0,3,3,4,0,3,3,6,0,6,0,0,0,0,0,0,6,0,8,18,8,29,0,0,4,11,9,21,3,8,12
SSC50005,26,14,46,8,5,17,3,4,6,0,0,0,0,0,0,18,13,23,10,7,15,0,0,0,69.2,92.9,50,42.3,64.3,50,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,9,0,9,25,21,45,3,5,8,19,8,28,16,9,24
SSC50006,562,611,1170,222,134,352,111,176,290,13,21,26,13,8,21,353,336,688,176,234,410,3.7,2.4,3.1,62.8,55,58.8,61.6,54.2,57.1,32,27,59,22,32,54,90,131,225,57,79,135,107,49,157,5,15,13,10,13,24,126,72,196,452,487,943,117,131,246,318,346,658,269,268,538
SSC50007,19,17,38,13,9,23,3,10,7,0,3,3,0,0,0,16,18,32,3,4,3,0,0,0,84.2,105.9,84.2,84.2,129.4,86.8,0,0,0,0,0,0,0,5,5,3,3,4,3,0,0,0,0,0,0,0,3,5,3,8,19,16,43,0,0,5,17,13,26,4,6,11
SSC50008,3179,3190,6371,1516,823,2336,444,849,1293,109,80,186,213,153,366,2281,1899,4181,769,1151,1917,9.3,8.1,8.8,71.8,59.5,65.6,65.1,54.9,59.9,62,67,123,22,47,64,256,384,640,246,266,512,770,345,1116,38,47,88,38,83,119,844,475,1324,3279,3236,6516,449,451,898,2383,2391,4773,1203,1141,2348
SSC50009,4,8,9,0,3,3,0,5,5,0,0,0,0,0,0,0,6,4,3,0,4,0,0,0,0,75,44.4,0,100,88.9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,4,4,9,0,3,3,3,3,5,0,3,3
SSC50010,987,1039,2019,470,267,741,134,308,439,27,33,62,36,25,57,666,634,1299,259,362,624,5.4,3.9,4.4,67.5,61,64.3,63.9,58.5,61.5,79,60,143,27,46,74,221,263,485,111,117,227,161,75,241,6,8,14,14,26,39,184,112,291,1003,1011,2015,152,170,326,650,663,1312,454,495,954
