SSC_CODE_2016,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SSC50001,0,3,0,5,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,4,3,3,5,0,3,0,0,0,20,0,0,3,5,3,4,0,0,0,23,3,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,16,9,3,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,16,9,3,0,0,0,38,3,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,7,9,4,5,18,7,3,3,0,0,53
SSC50002,28,14,46,75,70,51,16,6,0,304,15,8,16,21,14,23,48,27,11,178,0,3,0,4,0,5,3,0,3,15,48,22,66,95,85,75,67,34,11,501,15,16,61,88,84,44,3,0,0,310,32,9,30,47,55,39,21,6,0,237,3,0,4,8,5,5,5,0,0,35,0,0,0,0,0,0,0,0,0,4,49,32,94,150,151,91,26,3,0,587,3,0,3,0,0,10,0,0,0,24,3,0,0,3,3,0,0,0,0,10,7,0,4,3,3,10,0,0,0,31,60,27,102,150,151,99,26,3,0,622,21,8,22,18,23,43,94,59,16,300,0,3,6,8,5,6,10,3,3,42,80,38,128,176,178,148,129,67,20,968
SSC50003,0,4,3,3,5,0,3,0,0,24,0,0,0,0,0,3,0,4,0,9,0,0,0,0,0,0,0,0,0,3,0,4,9,5,12,3,0,3,0,33,0,4,3,6,3,0,0,0,0,21,0,3,3,7,9,6,5,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,14,13,8,5,0,0,50,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,10,13,16,8,5,0,0,50,0,0,0,0,0,3,3,0,0,14,0,0,0,0,0,3,0,0,0,9,0,4,11,12,12,17,7,4,0,75
SSC50004,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,12,0,0,0,5,0,4,3,0,0,14,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,7,4,8,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,8,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,5,3,0,0,28
SSC50005,0,0,3,0,3,3,0,0,0,13,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,14,4,0,3,3,3,0,0,0,0,17,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,9,7,3,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,9,7,3,0,0,0,23,3,0,3,0,0,3,4,0,0,15,0,0,3,0,0,0,0,0,0,3,6,0,9,6,5,5,8,3,0,46
SSC50006,21,14,39,45,90,93,31,0,0,336,18,4,15,5,10,49,62,39,22,234,3,0,0,0,3,4,11,8,7,39,41,23,56,54,105,146,107,47,28,611,5,20,68,34,104,99,23,0,0,352,28,14,30,37,52,77,49,3,0,290,0,0,0,3,3,11,3,0,0,24,0,0,0,0,4,3,0,0,0,5,34,37,100,75,158,190,70,6,0,670,3,0,7,3,3,3,0,0,0,20,0,0,0,0,0,3,0,0,0,4,3,0,7,4,3,3,0,0,0,21,39,37,108,79,165,193,69,6,0,688,31,12,19,12,23,69,131,76,39,410,4,3,6,0,11,10,17,10,8,75,72,51,138,92,201,276,225,94,40,1170
SSC50007,0,0,3,3,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,5,0,0,17,0,0,3,10,4,3,3,0,0,23,0,0,3,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,6,7,10,3,5,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,10,3,5,0,0,32,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,6,7,9,4,5,0,0,38
SSC50008,130,216,336,388,455,336,37,4,0,1899,146,43,148,117,109,191,221,140,35,1151,12,9,13,29,17,24,6,17,3,137,279,267,507,535,584,555,265,159,38,3190,45,209,476,480,631,435,60,0,0,2336,135,189,195,248,255,212,53,13,0,1293,8,5,16,28,18,26,4,0,0,111,5,15,15,17,17,6,0,0,0,81,186,421,709,766,926,684,114,15,0,3819,21,36,48,45,42,34,0,0,0,234,46,20,13,17,10,18,0,0,0,134,68,60,64,62,50,49,0,0,0,366,258,480,774,829,976,734,115,15,0,4181,320,86,194,166,170,294,384,247,60,1917,19,29,36,42,44,54,14,25,3,272,591,593,1009,1037,1191,1082,512,282,58,6371
SSC50009,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,3,9
SSC50010,31,52,119,144,160,96,22,3,0,634,31,10,27,43,22,52,89,62,30,362,0,3,7,9,5,5,3,3,0,41,66,65,151,196,195,157,108,66,32,1039,3,35,153,198,202,119,20,0,0,741,50,60,64,84,93,66,19,9,3,439,7,7,7,7,3,8,3,0,0,43,0,6,3,4,0,5,0,0,0,15,61,103,233,291,304,194,46,9,3,1245,0,0,7,9,6,3,0,0,0,32,9,0,6,3,5,4,3,0,0,29,6,0,14,13,13,9,4,0,0,57,68,107,248,304,308,201,48,9,3,1299,81,22,29,56,30,80,163,108,56,624,3,4,17,23,13,15,9,5,3,95,151,130,298,377,356,302,223,122,62,2019
