SSC_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SSC50001,6,0,0,0,29
SSC50002,96,72,33,13,616
SSC50003,7,6,0,0,48
SSC50004,0,3,0,0,16
SSC50005,0,4,0,0,16
SSC50006,205,152,58,19,782
SSC50007,3,4,0,0,15
SSC50008,555,229,123,23,3136
SSC50009,0,0,0,0,6
SSC50010,225,143,74,31,1389
SSC50011,192,112,24,3,3179
SSC50012,3,0,0,0,10
SSC50013,63,30,3,4,280
SSC50014,5,4,0,0,38
SSC50015,0,0,0,0,6
SSC50016,31,22,0,0,205
SSC50017,13,3,3,0,40
SSC50018,0,0,0,0,0
SSC50019,21,20,4,0,104
SSC50020,3,4,3,0,34
SSC50021,0,0,0,0,0
SSC50022,743,537,293,156,4185
SSC50023,3,0,0,0,19
SSC50024,462,265,141,62,2378
SSC50025,65,43,7,3,287
SSC50026,771,612,414,165,5629
SSC50027,4,3,0,0,17
SSC50028,0,0,0,0,9
SSC50029,4,0,0,0,19
SSC50030,6,5,0,0,48
SSC50031,253,161,56,8,1403
SSC50032,128,104,105,18,1225
SSC50033,0,0,0,0,3
SSC50034,76,56,33,7,634
SSC50035,531,370,233,93,3407
SSC50036,344,186,57,12,4089
SSC50037,205,66,54,38,3021
SSC50038,151,163,85,44,714
SSC50039,921,598,243,70,6371
SSC50040,329,170,63,4,4505
SSC50041,0,0,0,0,3
SSC50042,0,0,0,0,5
SSC50043,4,0,0,0,22
SSC50044,3,0,0,0,8
SSC50045,0,0,0,0,15
SSC50046,0,0,0,0,6
SSC50047,0,0,3,0,12
SSC50048,14,11,0,0,81
SSC50049,0,0,0,0,6
SSC50050,0,5,5,0,34
SSC50051,112,80,16,3,503
SSC50052,3,0,6,0,60
SSC50053,527,418,332,183,5184
SSC50054,1249,747,285,45,14248
SSC50055,527,375,206,39,5738
SSC50056,97,73,26,5,313
SSC50057,3,0,0,0,14
SSC50058,0,0,0,0,0
SSC50059,10,7,3,0,40
SSC50060,0,0,0,0,5
SSC50061,1258,524,232,68,7450
SSC50062,3,3,0,0,14
SSC50063,8,3,6,0,23
SSC50064,11,3,0,0,23
SSC50065,3,0,0,0,19
SSC50066,30,11,8,0,149
SSC50067,10,0,0,0,112
