SSC_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SSC50001,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,10,0,8,3,24
SSC50002,7,16,4,10,0,48,4,0,24,11,22,0,58,0,0,0,3,0,0,5,0,0,4,3,8,0,24,0,0,0,3,4,0,9,12,22,85,70,197,18,401
SSC50003,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,13,3,26
SSC50004,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,0,14
SSC50005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
SSC50006,8,37,15,8,0,78,13,13,38,19,15,3,94,0,0,5,3,4,0,10,0,0,5,3,11,0,21,0,0,0,5,7,0,15,47,42,156,79,129,21,483
SSC50007,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,0,10
SSC50008,18,88,27,59,6,218,15,11,97,60,111,13,300,0,0,6,4,13,0,26,3,5,6,26,100,7,146,5,3,17,13,36,20,97,101,52,497,380,952,93,2077
SSC50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC50010,14,54,9,15,0,122,20,17,59,20,18,8,136,0,0,0,7,4,0,12,0,0,3,9,18,0,28,3,0,5,0,10,4,28,114,53,381,156,183,42,925
SSC50011,17,90,31,43,8,204,15,10,118,115,102,18,368,0,0,6,4,8,0,23,5,0,18,27,89,3,138,0,0,8,10,42,7,73,98,55,487,464,1112,104,2312
SSC50012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9
SSC50013,0,15,9,10,3,33,0,0,3,11,10,0,21,0,0,0,0,0,0,0,0,0,0,0,14,0,11,0,0,0,0,9,0,10,0,0,23,30,121,10,192
SSC50014,0,4,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,8,0,22
SSC50015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6
SSC50016,0,5,6,4,0,10,0,0,3,3,5,0,15,0,0,0,0,0,0,0,0,0,0,3,11,0,13,0,0,0,0,3,0,8,0,3,23,26,100,11,159
SSC50017,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,12,4,30
SSC50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50019,0,0,0,3,0,3,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,5,0,7,0,0,7,7,42,6,63
SSC50020,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,10,3,24
SSC50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50022,30,117,20,25,7,253,71,34,222,44,34,14,418,0,3,25,0,10,3,42,9,3,16,9,26,7,75,20,4,44,19,19,3,110,389,150,1170,331,400,83,2529
SSC50023,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,0,13
SSC50024,19,82,20,16,10,191,45,23,118,43,27,10,258,0,3,9,3,5,0,18,3,0,12,4,23,0,38,12,7,21,12,14,9,70,232,101,660,233,243,58,1525
SSC50025,0,16,4,4,0,24,0,3,15,3,9,0,35,0,0,0,0,0,0,0,0,0,3,0,4,0,8,0,0,0,0,3,0,8,4,7,46,28,87,10,188
SSC50026,27,71,43,78,9,249,30,13,121,109,186,26,484,0,0,3,10,17,0,30,3,0,9,12,97,5,132,4,0,8,9,64,28,112,104,62,427,441,1424,178,2628
SSC50027,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,13
SSC50028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,9
SSC50029,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,6,0,20
SSC50030,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,9,3,3,31
SSC50031,11,42,10,7,0,94,11,7,44,24,13,3,110,3,3,4,4,16,6,37,0,0,6,4,25,0,39,0,0,15,11,20,5,48,91,51,279,167,273,61,909
SSC50032,14,28,17,15,3,76,9,4,50,29,31,3,123,0,0,0,0,3,0,7,3,0,12,3,19,4,35,4,0,10,3,25,4,43,40,32,184,141,344,35,771
SSC50033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC50034,13,13,5,5,0,33,4,0,22,6,14,3,53,3,0,10,3,3,0,12,0,0,0,0,8,0,10,0,0,3,3,13,3,15,33,23,123,62,129,14,385
SSC50035,29,139,37,17,3,279,50,24,159,44,25,13,311,4,0,10,7,4,0,34,4,0,12,7,29,0,54,15,0,40,19,33,8,110,264,117,923,334,491,73,2209
SSC50036,45,147,53,68,6,360,34,30,208,84,103,20,480,0,3,11,9,10,3,40,5,0,19,18,82,3,124,9,0,21,25,63,15,132,233,149,939,529,1149,117,3111
SSC50037,25,119,30,36,8,250,34,22,159,69,62,13,352,0,0,7,4,7,3,26,9,0,13,22,58,0,98,9,5,20,14,34,3,84,198,87,753,395,775,65,2276
SSC50038,0,6,3,8,0,20,0,0,15,6,10,0,40,0,0,0,0,0,0,3,0,0,0,3,4,0,6,0,0,3,3,8,0,13,7,6,51,35,176,21,295
SSC50039,59,195,68,120,12,469,14,12,166,105,195,15,512,0,0,14,8,25,4,51,5,0,12,30,118,7,167,5,0,13,28,75,14,140,86,115,756,644,2218,173,3990
SSC50040,30,120,56,76,5,314,26,10,154,114,123,16,446,5,0,7,3,23,0,41,0,3,22,32,102,10,167,3,3,21,29,63,10,127,149,96,756,735,1487,143,3366
SSC50041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC50042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7
SSC50043,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,3,17
SSC50044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6
SSC50045,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,11
SSC50046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
SSC50047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SSC50048,0,3,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,3,19,10,28,0,61
SSC50049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4
SSC50050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,14
SSC50051,3,7,3,17,0,29,0,0,8,15,14,3,34,0,0,0,0,0,0,5,0,0,0,3,9,0,15,0,0,0,0,13,0,19,3,3,36,51,199,19,310
SSC50052,0,0,0,0,0,10,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,7,9,21,0,40
SSC50053,46,139,43,55,14,327,37,19,170,81,91,5,404,3,3,20,8,8,3,46,4,6,27,24,88,4,156,9,0,23,37,48,19,140,224,129,1040,561,1096,122,3177
SSC50054,86,368,131,240,21,912,69,71,432,311,410,44,1338,0,3,19,15,64,5,110,11,5,31,68,346,5,458,12,0,48,53,202,40,359,323,260,1841,1706,5052,381,9555
SSC50055,29,74,26,62,8,216,35,21,201,141,195,20,609,3,0,17,11,15,0,52,9,5,19,26,88,8,155,10,0,42,33,62,39,180,227,85,861,659,1270,173,3280
SSC50056,3,5,5,3,0,21,0,0,4,7,3,3,16,0,0,0,3,0,0,3,0,0,0,0,3,0,7,0,0,3,0,0,0,4,9,8,31,36,62,7,157
SSC50057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,14,0,23
SSC50060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50061,42,191,85,149,20,536,28,30,219,155,229,34,696,4,0,18,15,34,3,75,5,0,24,42,204,10,288,6,0,39,33,116,34,222,204,135,1133,891,2420,257,5051
SSC50062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,10
