SSC_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SSC50001,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,3,3,16,9,3,0,0,0,35
SSC50002,7,0,3,7,6,4,0,0,0,30,0,3,4,0,3,3,0,0,0,13,49,32,94,150,151,91,26,3,0,587
SSC50003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,14,13,8,5,0,0,50
SSC50004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,8,3,0,0,20
SSC50005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,9,7,3,0,0,0,27
SSC50006,0,3,0,4,5,3,0,0,0,22,0,0,3,0,10,3,0,0,0,24,34,37,100,75,158,190,70,6,0,670
SSC50007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,10,3,5,0,0,32
SSC50008,5,33,45,47,49,37,13,0,0,229,8,21,38,44,60,37,7,0,0,226,186,421,709,766,926,684,114,15,0,3819
SSC50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4
SSC50010,0,5,17,4,4,10,3,0,3,41,0,3,6,15,9,10,0,0,0,42,61,103,233,291,304,194,46,9,3,1245
SSC50011,3,25,73,33,21,3,0,0,0,166,9,24,37,26,28,9,4,0,0,128,136,413,1201,751,541,178,35,3,3,3263
SSC50012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,15
