SSC_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SSC50001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,5,4,8,0,6,0,35
SSC50002,3,5,0,0,6,3,3,0,0,30,0,3,0,0,3,0,0,3,3,13,35,90,66,81,83,82,53,95,4,587
SSC50003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,15,3,0,3,10,0,50
SSC50004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,6,3,20
SSC50005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,8,0,27
SSC50006,0,4,4,7,8,3,4,0,0,22,0,4,0,10,0,0,0,4,5,24,24,105,72,108,95,98,64,93,5,670
SSC50007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,3,3,0,13,0,32
SSC50008,7,36,20,29,39,45,11,35,0,229,7,19,18,20,46,47,6,25,47,226,111,476,358,457,833,668,320,517,81,3819
SSC50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,4
SSC50010,0,13,3,5,3,11,0,3,0,41,0,9,4,0,5,5,3,7,3,42,43,169,140,133,160,249,108,229,15,1245
SSC50011,4,23,12,22,31,32,24,17,3,166,3,6,6,14,24,25,10,18,23,128,150,283,283,328,692,648,316,523,47,3263
SSC50012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,15
SSC50013,0,3,0,0,0,4,0,3,0,14,0,0,0,0,0,3,0,0,3,8,13,33,29,19,37,27,58,41,4,274
SSC50014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,11,9,0,3,9,4,22,0,62
SSC50015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SSC50016,0,0,3,0,0,0,0,0,3,13,0,0,0,0,0,0,0,3,0,8,15,22,24,30,36,36,17,43,7,235
SSC50017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,6,7,14,0,45
SSC50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9
SSC50019,0,0,0,0,0,0,0,3,0,4,0,3,0,3,0,3,0,3,5,21,3,17,8,17,11,17,11,32,9,122
SSC50020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,4,0,4,7,0,33
SSC50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50022,0,9,7,15,12,19,14,17,0,91,10,18,8,16,15,25,13,44,19,153,93,520,331,374,382,601,280,619,28,3231
SSC50023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,3,9,0,11,0,30
SSC50024,0,7,8,6,12,12,4,3,0,48,3,13,17,12,7,20,3,7,9,97,73,325,255,203,296,370,189,310,21,2036
SSC50025,0,7,0,0,0,0,0,6,0,16,0,0,0,0,0,3,0,0,3,13,16,29,21,36,36,36,27,54,10,257
