SSC_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SSC50001,4,3,4,4,3,4,4,8,3,35
SSC50002,78,94,120,70,68,59,33,58,10,587
SSC50003,17,3,6,0,3,4,4,8,0,50
SSC50004,11,0,0,0,0,0,0,0,0,20
SSC50005,18,0,0,0,0,0,0,4,0,27
SSC50006,107,206,69,58,72,53,33,64,7,670
SSC50007,20,3,0,0,0,0,0,3,0,32
SSC50008,317,476,693,430,585,420,318,496,73,3819
SSC50009,0,0,0,0,5,0,0,0,0,4
SSC50010,199,384,126,121,187,111,28,58,20,1245
SSC50011,299,512,673,467,479,307,199,293,36,3263
SSC50012,5,0,0,0,0,0,3,0,0,15
SSC50013,19,29,73,23,30,13,50,37,3,274
SSC50014,23,8,3,6,4,0,3,12,0,62
SSC50015,0,0,0,0,0,0,0,0,0,6
SSC50016,40,20,49,21,21,27,25,32,3,235
SSC50017,35,3,0,0,0,0,0,3,0,45
SSC50018,4,0,0,0,0,0,0,3,0,9
SSC50019,23,11,28,7,18,3,14,16,3,122
SSC50020,8,6,4,3,3,0,0,0,0,33
SSC50021,0,0,0,0,0,0,0,0,0,0
SSC50022,646,1151,252,234,426,291,52,121,60,3231
SSC50023,15,3,0,4,0,0,0,6,0,30
SSC50024,315,690,170,188,290,195,52,108,27,2036
SSC50025,33,58,46,23,33,16,24,18,6,257
SSC50026,273,450,814,640,613,485,711,695,65,4750
SSC50027,17,3,0,0,0,0,4,5,0,27
SSC50028,4,3,0,0,0,0,0,0,0,9
SSC50029,21,3,0,0,0,0,0,3,0,30
SSC50030,23,5,4,0,3,0,0,4,7,47
SSC50031,224,290,207,122,221,115,76,97,24,1380
SSC50032,114,226,210,133,195,100,94,112,15,1193
SSC50033,0,0,0,0,0,0,0,3,0,3
SSC50034,56,138,97,59,81,39,42,61,6,569
SSC50035,585,896,267,266,439,284,61,152,55,3015
SSC50036,563,1036,730,487,744,454,283,363,72,4730
SSC50037,384,784,520,296,489,232,170,234,38,3139
SSC50038,68,46,85,67,52,62,25,84,6,498
SSC50039,533,864,1273,680,748,715,684,770,97,6369
SSC50040,576,747,865,690,861,521,477,419,78,5241
SSC50041,0,0,0,0,0,0,0,3,0,7
SSC50042,7,0,0,3,0,3,0,0,0,9
SSC50043,19,4,3,0,3,0,5,6,0,34
SSC50044,5,0,4,0,3,0,3,4,0,14
SSC50045,18,0,0,3,0,0,0,3,0,25
SSC50046,4,3,0,0,4,0,0,0,0,13
SSC50047,3,0,0,0,0,0,0,0,0,4
SSC50048,60,5,18,3,9,0,11,22,0,137
SSC50049,3,0,0,0,0,0,0,0,0,8
SSC50050,4,0,3,0,3,0,0,0,3,20
SSC50051,49,56,93,69,71,33,65,62,8,505
SSC50052,27,10,13,10,5,11,3,15,3,87
SSC50053,475,975,808,464,696,493,302,502,85,4791
SSC50054,1381,2142,2999,1841,2009,1363,1384,1341,233,14701
SSC50055,372,615,892,800,560,454,574,858,122,5254
SSC50056,52,33,33,23,20,16,20,38,0,232
SSC50057,0,0,0,0,0,0,0,5,0,6
SSC50058,0,0,0,0,0,0,0,0,0,0
SSC50059,8,5,6,3,5,5,0,7,0,33
SSC50060,0,0,0,0,0,0,0,0,0,0
SSC50061,827,1178,1614,1050,1361,1064,774,1058,156,9088
SSC50062,13,0,0,0,3,0,4,0,0,16
SSC50063,9,0,6,0,0,6,3,3,4,25
SSC50064,3,3,3,0,4,3,0,3,0,17
SSC50065,7,0,3,0,4,0,0,4,0,25
SSC50066,23,32,37,8,32,21,12,10,3,166
SSC50067,9,16,34,0,3,0,57,9,0,133
SSC50068,145,222,198,109,182,97,64,83,20,1121
SSC50069,336,626,949,589,677,421,353,527,77,4552
SSC50070,0,0,0,0,0,0,0,0,0,0
SSC50071,17,19,30,4,0,0,21,6,3,106
SSC50072,4,0,0,0,0,0,3,3,0,16
SSC50073,7,0,0,0,0,0,0,0,0,11
SSC50074,3,0,0,0,0,3,0,0,0,7
SSC50075,35,42,86,39,57,40,54,53,12,422
SSC50076,63,134,665,28,54,4,177,392,27,1547
SSC50077,35,30,11,15,27,13,9,10,3,148
SSC50078,576,1305,759,574,786,369,276,382,74,5095
SSC50079,236,627,194,162,232,157,64,111,13,1803
SSC50080,0,0,0,0,0,0,0,0,0,0
SSC50081,270,336,413,201,272,113,184,170,51,2014
SSC50082,119,187,197,184,177,145,110,149,28,1300
SSC50083,958,2114,1021,769,1016,562,334,516,129,7420
SSC50084,65,128,84,77,62,69,47,85,5,613
SSC50085,46,11,7,5,3,3,11,14,5,90
SSC50086,324,729,301,217,233,179,78,157,43,2267
SSC50087,0,0,0,0,0,0,0,0,0,0
SSC50088,15,6,0,0,0,0,0,4,0,35
SSC50089,18,0,0,0,0,0,0,0,0,24
SSC50090,227,532,639,399,458,305,369,451,60,3432
SSC50091,357,784,347,279,375,240,102,189,40,2708
SSC50092,179,221,316,118,223,122,90,89,26,1386
SSC50093,274,411,785,492,557,420,400,579,77,3994
SSC50094,6,11,22,0,7,5,11,8,0,73
SSC50095,6,0,3,0,0,3,0,8,0,20
SSC50096,3,3,3,0,3,0,0,0,6,16
SSC50097,22,10,3,5,9,3,7,9,0,59
SSC50098,418,728,701,386,607,358,275,325,70,3878
SSC50099,8,0,0,0,0,0,0,0,0,18
SSC50100,27,3,5,3,0,3,4,20,0,69
SSC50101,15,10,13,14,12,0,12,8,3,76
