SSC_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SSC50001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC50002,0,0,0,0,0,0,0,0,0,10,13,0,26,0,0,0,29,6,0,37
SSC50003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6
SSC50006,0,0,0,0,0,0,0,0,3,12,16,0,28,3,0,3,31,16,0,51
SSC50007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50008,0,0,0,0,0,0,3,0,3,115,71,9,191,7,7,21,211,121,0,335
SSC50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50010,0,0,0,0,0,0,0,3,3,34,17,0,57,0,0,0,59,27,3,85
SSC50011,0,0,0,0,0,0,0,0,0,76,66,7,147,11,14,22,169,68,0,234
SSC50012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50013,0,0,0,0,0,0,0,0,0,7,6,0,14,0,0,0,16,7,0,18
SSC50014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC50015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50016,0,0,0,0,0,0,0,0,0,0,6,0,7,3,0,3,10,4,0,14
SSC50017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50019,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
SSC50020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50022,0,3,0,0,0,3,0,0,7,57,49,4,117,8,5,10,128,74,7,210
SSC50023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50024,0,0,0,0,0,0,0,0,0,76,31,3,112,3,5,5,120,42,0,163
SSC50025,0,0,0,0,0,0,0,0,0,0,7,0,8,3,0,3,11,7,0,18
SSC50026,0,7,0,0,0,4,22,12,35,210,195,24,430,61,42,104,535,465,18,1012
SSC50027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50031,0,3,0,0,0,3,0,0,3,35,24,3,56,4,0,7,59,27,0,85
SSC50032,0,0,0,0,0,0,0,0,0,35,25,3,61,0,3,0,64,29,0,96
SSC50033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50034,0,0,0,0,0,0,0,0,0,15,18,4,40,0,0,0,35,37,0,75
SSC50035,3,3,0,0,0,3,0,0,5,62,37,9,110,0,4,3,111,69,0,185
SSC50036,0,5,0,0,0,5,0,0,3,130,97,6,231,7,7,16,242,70,0,309
SSC50037,0,3,0,0,0,3,0,0,3,58,62,4,127,3,0,9,131,42,0,173
SSC50038,0,0,0,0,0,0,0,0,0,8,7,0,18,3,3,3,25,16,0,38
SSC50039,0,3,0,0,0,3,3,0,5,158,168,18,344,27,18,40,386,159,0,544
SSC50040,0,6,0,0,0,4,0,3,8,174,102,8,282,11,11,25,304,97,4,407
SSC50041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC50049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50051,0,0,0,0,0,0,0,0,0,12,12,0,21,0,0,0,25,14,0,39
SSC50052,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,3,0,0,7
