SSC_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SSC50001,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,7,0,5,4,8,0,6,0,35
SSC50002,6,9,0,6,3,15,10,28,0,78,4,8,15,20,11,20,8,13,0,94,3,3,7,12,19,23,15,34,0,120,3,12,8,19,9,11,3,7,0,70,3,11,18,8,16,7,4,0,0,68,0,20,14,4,6,0,0,3,0,59,3,8,3,4,3,0,4,10,0,33,5,21,4,9,4,7,5,7,0,58,0,0,0,0,0,0,0,0,0,10,35,90,66,81,83,82,53,95,4,587
SSC50003,0,3,0,7,3,0,0,3,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,4,0,3,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,9,6,15,3,0,3,10,0,50
SSC50004,0,0,0,3,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,6,3,20
SSC50005,0,0,3,0,3,0,0,8,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,8,0,27
SSC50006,9,7,3,13,14,17,12,29,0,107,7,22,28,28,37,38,17,29,0,206,0,10,3,6,17,13,11,8,0,69,3,16,8,19,7,0,9,4,0,58,0,17,17,15,7,11,0,4,0,72,3,20,6,9,0,4,0,10,0,53,0,0,4,4,0,4,7,7,0,33,0,24,10,11,3,8,5,7,0,64,0,0,0,0,0,0,0,0,0,7,24,105,72,108,95,98,64,93,5,670
SSC50007,0,0,4,0,0,3,0,10,0,20,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,3,4,3,3,0,13,0,32
SSC50008,7,13,12,34,50,78,43,83,4,317,16,44,36,63,106,91,42,68,5,476,16,37,33,54,158,165,99,117,16,693,14,75,58,71,85,55,26,38,6,430,22,61,58,79,189,103,32,38,4,585,12,123,64,62,64,46,20,29,6,420,6,21,24,24,72,49,28,87,8,318,10,101,68,71,98,69,27,45,14,496,3,3,4,4,18,11,0,8,24,73,111,476,358,457,833,668,320,517,81,3819
SSC50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,4
SSC50010,3,4,5,17,12,45,27,79,0,199,13,28,46,38,59,95,29,67,4,384,0,14,11,11,17,27,17,29,3,126,5,34,20,19,6,13,8,8,0,121,7,24,28,25,36,36,15,9,0,187,3,34,13,12,8,18,5,12,0,111,0,3,3,0,9,3,4,4,0,28,4,24,13,5,5,0,3,8,0,58,0,3,0,3,0,0,3,7,9,20,43,169,140,133,160,249,108,229,15,1245
SSC50011,8,5,13,14,55,76,55,65,0,299,22,28,35,50,132,106,56,76,5,512,36,25,26,34,130,177,86,145,7,673,27,70,52,78,90,73,32,36,4,467,22,25,59,51,153,98,37,31,3,479,11,67,39,37,63,41,18,24,3,307,15,4,12,13,32,19,20,78,5,199,11,58,43,33,33,41,17,63,3,293,0,0,0,6,6,9,0,3,15,36,150,283,283,328,692,648,316,523,47,3263
SSC50012,0,0,0,0,0,0,0,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,15
SSC50013,0,0,3,3,4,0,0,4,0,19,0,0,3,5,10,3,3,4,0,29,3,8,6,0,19,8,21,9,0,73,0,7,8,3,0,0,0,0,0,23,0,10,4,0,5,4,3,0,0,30,0,3,0,3,3,0,0,3,0,13,4,0,0,3,3,5,24,10,0,50,3,10,7,5,0,3,0,0,0,37,0,0,0,0,0,0,0,0,3,3,13,33,29,19,37,27,58,41,4,274
SSC50014,0,0,0,0,0,3,3,15,0,23,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,4,11,9,0,3,9,4,22,0,62
SSC50015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SSC50016,8,3,3,0,3,8,7,16,0,40,0,3,0,6,0,0,5,0,0,20,5,0,3,0,12,13,3,10,3,49,0,3,3,3,3,3,0,3,0,21,0,4,8,4,8,3,0,0,0,21,0,3,6,3,6,0,3,3,0,27,0,3,0,0,3,0,0,9,0,25,0,3,10,9,3,4,0,3,0,32,3,0,0,0,0,0,0,0,0,3,15,22,24,30,36,36,17,43,7,235
SSC50017,0,3,3,3,0,4,7,14,0,35,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,6,7,14,0,45
SSC50018,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9
SSC50019,0,4,0,0,0,0,0,14,0,23,0,0,0,3,3,0,0,4,0,11,3,0,5,7,3,7,4,8,0,28,0,0,0,0,3,0,0,0,3,7,0,6,0,0,0,3,3,0,0,18,0,3,0,0,0,0,0,0,0,3,0,3,0,0,3,3,0,3,0,14,0,3,0,4,0,0,0,3,0,16,0,0,0,0,0,0,0,0,6,3,3,17,8,17,11,17,11,32,9,122
SSC50020,0,0,0,4,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,4,0,4,7,0,33
SSC50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50022,5,30,36,47,51,129,75,261,4,646,31,148,115,137,137,244,114,215,5,1151,6,19,16,14,41,63,30,56,0,252,9,67,39,44,28,23,15,10,4,234,13,80,60,68,81,77,16,28,3,426,11,108,40,31,26,37,12,30,3,291,4,9,5,8,11,12,3,9,0,52,6,43,15,20,13,4,3,6,0,121,4,10,7,4,4,11,4,8,7,60,93,520,331,374,382,601,280,619,28,3231
SSC50023,0,0,0,0,0,6,0,11,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,9,0,11,0,30
